datetime,co2,temperature,humidity,closed_frac
2023-11-01 14:00:00,1997.0,24.6,44.14,
2023-11-01 14:15:00,2136.5,24.65,44.335,1.0
2023-11-01 14:30:00,2302.0,24.8,44.92,
2023-11-01 14:45:00,2310.0,24.8,44.335,1.0
2023-11-01 15:00:00,2282.0,24.8,44.14,
2023-11-01 15:15:00,2245.0,24.9,44.335,1.0
2023-11-01 15:30:00,2313.0,24.9,44.53,
2023-11-01 15:45:00,2324.0,24.9,44.92,1.0
2023-11-01 16:00:00,2355.0,24.9,44.92,
2023-11-01 16:15:00,2416.5,25.0,45.31,1.0
2023-11-01 16:30:00,2710.0,25.1,45.7,
2023-11-01 16:45:00,2220.5,25.05,44.53,1.0
2023-11-01 17:00:00,1949.0,25.0,44.14,
2023-11-01 17:15:00,2031.0,25.0,43.945,1.0
2023-11-01 17:30:00,2070.0,25.1,44.53,
2023-11-01 17:45:00,2211.0,25.1,45.115,1.0
2023-11-01 18:00:00,2291.0,25.2,45.31,
2023-11-01 18:15:00,2372.5,25.15,45.505,1.0
2023-11-01 18:30:00,2064.0,25.1,44.53,
2023-11-01 18:45:00,1845.0,25.1,44.53,1.0
2023-11-01 19:00:00,1787.0,25.1,44.14,
2023-11-01 19:15:00,1641.5,25.1,43.945,1.0
2023-11-01 19:30:00,1583.0,25.1,44.14,
2023-11-01 19:45:00,1511.0,25.1,43.75,1.0
2023-11-01 20:00:00,1536.0,25.1,43.75,
2023-11-01 20:15:00,1507.0,25.1,43.75,1.0
2023-11-01 20:30:00,1444.0,25.1,43.75,
2023-11-01 20:45:00,1383.0,25.1,43.555,1.0
2023-11-01 21:00:00,1336.0,25.0,43.75,
2023-11-01 21:15:00,1302.0,25.0,43.75,1.0
2023-11-01 21:30:00,1356.5,24.95,43.75,
2023-11-01 21:45:00,1303.0,24.8,43.75,1.0
2023-11-01 22:00:00,1319.0,24.8,44.14,
2023-11-01 22:15:00,1350.0,24.8,44.14,1.0
2023-11-01 22:30:00,1346.0,24.75,44.14,
2023-11-01 22:45:00,1287.0,24.7,44.14,1.0
2023-11-01 23:00:00,1299.5,24.7,44.14,
2023-11-01 23:15:00,1247.0,24.6,44.53,1.0
2023-11-01 23:30:00,1274.5,24.6,44.53,
2023-11-01 23:45:00,1253.0,24.6,44.53,1.0
2023-11-02 00:00:00,1224.5,24.6,44.53,
2023-11-02 00:15:00,1174.0,24.6,44.53,1.0
2023-11-02 00:30:00,1223.0,24.5,44.53,
2023-11-02 00:45:00,1224.0,24.5,44.53,1.0
2023-11-02 01:00:00,1174.0,24.5,44.53,
2023-11-02 01:15:00,1193.0,24.5,44.53,1.0
2023-11-02 01:30:00,1205.0,24.5,44.53,
2023-11-02 01:45:00,1170.0,24.4,44.53,1.0
2023-11-02 02:00:00,1167.0,24.4,44.53,
2023-11-02 02:15:00,1121.0,24.4,44.53,1.0
2023-11-02 02:30:00,1107.5,24.4,44.53,
2023-11-02 02:45:00,1088.0,24.4,44.53,1.0
2023-11-02 03:00:00,1113.5,24.4,44.725,
2023-11-02 03:15:00,1116.0,24.4,44.92,1.0
2023-11-02 03:30:00,1077.0,24.35,44.92,
2023-11-02 03:45:00,1056.0,24.4,44.92,1.0
2023-11-02 04:00:00,1026.5,24.3,44.92,
2023-11-02 04:15:00,1098.0,24.3,44.92,1.0
2023-11-02 04:30:00,1025.5,24.3,44.92,
2023-11-02 04:45:00,923.0,24.3,44.92,1.0
2023-11-02 05:00:00,972.0,24.3,44.92,
2023-11-02 05:15:00,990.0,24.3,44.92,1.0
2023-11-02 05:30:00,996.0,24.2,44.92,
2023-11-02 05:45:00,977.5,24.25,44.92,1.0
2023-11-02 06:00:00,981.0,24.2,44.92,
2023-11-02 06:15:00,937.0,24.2,44.92,1.0
2023-11-02 06:30:00,936.0,24.2,44.92,
2023-11-02 06:45:00,983.5,24.2,44.92,1.0
2023-11-02 07:00:00,921.0,24.2,44.92,
2023-11-02 07:15:00,932.5,24.2,44.92,1.0
2023-11-02 07:30:00,853.0,24.2,44.92,
2023-11-02 07:45:00,899.5,24.2,44.92,1.0
2023-11-02 08:00:00,902.0,24.2,44.92,
2023-11-02 08:15:00,901.5,24.2,44.92,1.0
2023-11-02 08:30:00,953.0,24.2,45.7,
2023-11-02 08:45:00,1096.0,24.2,46.68,1.0
2023-11-02 09:00:00,1180.0,24.2,47.27,
2023-11-02 09:15:00,1508.0,24.25,49.025,1.0
2023-11-02 09:30:00,1788.0,24.4,50.0,
2023-11-02 09:45:00,1906.5,24.45,50.39,1.0
2023-11-02 10:00:00,2107.0,24.6,50.78,
2023-11-02 10:15:00,2026.5,24.6,50.39,1.0
2023-11-02 10:30:00,2058.0,24.6,50.0,
2023-11-02 10:45:00,1936.0,24.7,49.805,1.0
2023-11-02 11:00:00,1885.0,24.7,48.83,
2023-11-02 11:15:00,1877.5,24.7,49.22,1.0
2023-11-02 11:30:00,1906.0,24.7,49.22,
2023-11-02 11:45:00,1816.5,24.7,48.83,1.0
2023-11-02 12:00:00,1862.0,24.7,48.83,
2023-11-02 12:15:00,2062.0,24.8,49.415,1.0
2023-11-02 12:30:00,2051.0,24.8,49.22,0.0
