datetime,motion,light,co2,temperature,humidity
2023-11-01 00:02:46,0.0,1.0,428.0,21.6,41.0
2023-11-01 00:07:46,0.0,1.0,425.0,21.7,41.0
2023-11-01 00:12:46,0.0,1.0,422.0,21.6,41.0
2023-11-01 00:17:46,0.0,1.0,422.0,21.6,41.0
2023-11-01 00:22:46,0.0,1.0,421.0,21.6,41.0
2023-11-01 00:27:46,0.0,1.0,422.0,21.6,41.0
2023-11-01 00:32:46,0.0,1.0,421.0,21.6,40.0
2023-11-01 00:37:46,0.0,1.0,414.0,21.6,40.0
2023-11-01 00:42:46,0.0,1.0,422.0,21.6,41.0
2023-11-01 00:47:46,0.0,1.0,416.0,21.6,40.0
2023-11-01 00:52:46,0.0,1.0,416.0,21.6,40.0
2023-11-01 00:57:47,0.0,1.0,416.0,21.6,40.0
2023-11-01 01:02:46,0.0,1.0,416.0,21.6,40.0
2023-11-01 01:07:46,0.0,1.0,420.0,21.6,40.0
2023-11-01 01:12:46,0.0,1.0,410.0,21.6,40.0
2023-11-01 01:17:46,0.0,1.0,408.0,21.6,40.0
2023-11-01 01:22:46,0.0,1.0,411.0,21.6,40.0
2023-11-01 01:27:46,0.0,1.0,407.0,21.6,40.0
2023-11-01 01:32:46,0.0,1.0,409.0,21.6,40.0
2023-11-01 01:37:46,0.0,1.0,406.0,21.6,40.0
2023-11-01 01:42:46,0.0,1.0,399.0,21.6,40.0
2023-11-01 01:47:46,0.0,1.0,410.0,21.6,40.0
2023-11-01 01:52:46,0.0,1.0,404.0,21.5,40.0
2023-11-01 01:57:46,0.0,1.0,398.0,21.5,40.0
2023-11-01 02:02:46,0.0,1.0,403.0,21.5,40.0
2023-11-01 02:07:46,0.0,1.0,393.0,21.5,40.0
2023-11-01 02:12:46,0.0,1.0,398.0,21.5,40.0
2023-11-01 02:17:46,0.0,1.0,405.0,21.5,40.0
2023-11-01 02:22:46,0.0,1.0,398.0,21.5,40.0
2023-11-01 02:27:46,0.0,1.0,397.0,21.5,40.0
2023-11-01 02:32:46,0.0,1.0,402.0,21.5,40.0
2023-11-01 02:37:46,0.0,1.0,398.0,21.5,40.0
2023-11-01 02:42:46,0.0,1.0,393.0,21.5,40.0
2023-11-01 02:47:46,0.0,1.0,390.0,21.5,40.0
2023-11-01 02:52:46,0.0,1.0,391.0,21.5,39.0
