datetime,co2,temperature,humidity,closed,motor_position,motor_range,trv_temperature,target_temperature
2023-11-01 00:02:34,2100.0,21.9,54.3,,,,,
2023-11-01 00:04:37,,,,,540.0,540.0,25.9,22.0
2023-11-01 00:09:18,,,,True,,,,
2023-11-01 00:09:24,,,,True,,,,
2023-11-01 00:12:38,2063.0,21.9,54.3,,,,,
2023-11-01 00:14:38,,,,,540.0,540.0,25.9,22.0
2023-11-01 00:22:26,1995.0,21.9,54.3,,,,,
2023-11-01 00:24:39,,,,,540.0,540.0,25.9,22.0
2023-11-01 00:32:47,1977.0,21.9,54.3,,,,,
2023-11-01 00:34:40,,,,,540.0,540.0,25.9,22.0
2023-11-01 00:39:18,,,,True,,,,
2023-11-01 00:39:24,,,,True,,,,
2023-11-01 00:42:51,1977.0,21.9,54.3,,,,,
2023-11-01 00:44:41,,,,,540.0,540.0,25.9,22.0
2023-11-01 00:52:55,1979.0,21.9,54.3,,,,,
2023-11-01 00:54:42,,,,,540.0,540.0,25.9,22.0
2023-11-01 01:02:59,1936.0,21.9,54.3,,,,,
2023-11-01 01:04:43,,,,,540.0,540.0,25.9,22.0
2023-11-01 01:09:18,,,,True,,,,
2023-11-01 01:09:24,,,,True,,,,
2023-11-01 01:13:03,1954.0,21.9,54.3,,,,,
2023-11-01 01:14:43,,,,,540.0,540.0,25.9,22.0
2023-11-01 01:23:07,1922.0,21.9,54.3,,,,,
2023-11-01 01:24:44,,,,,540.0,540.0,25.9,22.0
2023-11-01 01:32:55,1878.0,21.9,54.3,,,,,
2023-11-01 01:34:45,,,,,540.0,540.0,25.9,22.0
2023-11-01 01:39:18,,,,True,,,,
2023-11-01 01:39:24,,,,True,,,,
2023-11-01 01:43:15,1994.0,21.9,54.3,,,,,
2023-11-01 01:44:46,,,,,540.0,540.0,25.9,22.0
2023-11-01 01:53:20,1882.0,21.9,54.3,,,,,
2023-11-01 01:54:47,,,,,540.0,540.0,25.9,22.0
2023-11-01 02:03:24,1851.0,21.9,54.3,,,,,
2023-11-01 02:04:48,,,,,540.0,540.0,25.9,22.0
2023-11-01 02:09:18,,,,True,,,,
2023-11-01 02:09:24,,,,True,,,,
2023-11-01 02:13:28,1806.0,21.9,54.3,,,,,
2023-11-01 02:14:49,,,,,540.0,540.0,25.9,22.0
2023-11-01 02:23:32,1835.0,21.9,54.3,,,,,
2023-11-01 02:24:50,,,,,540.0,540.0,25.9,22.0
2023-11-01 02:33:36,1775.0,21.9,54.3,,,,,
2023-11-01 02:34:51,,,,,540.0,540.0,25.9,22.0
2023-11-01 02:39:18,,,,True,,,,
2023-11-01 02:39:24,,,,True,,,,
2023-11-01 02:43:40,1811.0,21.9,54.3,,,,,
2023-11-01 02:44:52,,,,,540.0,540.0,25.9,22.0
2023-11-01 02:53:44,1762.0,21.9,54.3,,,,,
2023-11-01 02:54:53,,,,,540.0,540.0,25.9,22.0
2023-11-01 03:03:48,1720.0,21.9,54.3,,,,,
2023-11-01 03:04:54,,,,,540.0,540.0,25.9,22.0
2023-11-01 03:09:17,,,,True,,,,
2023-11-01 03:09:24,,,,True,,,,
2023-11-01 03:13:52,1733.0,21.9,54.3,,,,,
2023-11-01 03:14:55,,,,,540.0,540.0,25.7,22.0
2023-11-01 03:23:57,1716.0,21.9,53.91,,,,,
2023-11-01 03:24:56,,,,,540.0,540.0,25.9,22.0
2023-11-01 03:34:01,1740.0,21.8,53.91,,,,,
2023-11-01 03:34:57,,,,,540.0,540.0,25.7,22.0
2023-11-01 03:39:17,,,,True,,,,
2023-11-01 03:39:23,,,,True,,,,
2023-11-01 03:44:05,1613.0,21.9,53.91,,,,,
