datetime,co2,temperature,humidity
2023-11-01 00:10:01,1103.0,23.8,46.09
2023-11-01 00:30:13,1021.0,23.8,46.09
2023-11-01 00:40:20,1033.0,23.8,45.7
2023-11-01 00:50:26,959.0,23.8,45.7
2023-11-01 01:00:33,982.0,23.8,45.7
2023-11-01 01:10:39,967.0,23.7,45.7
2023-11-01 01:20:46,963.0,23.7,45.7
2023-11-01 01:30:52,947.0,23.7,45.7
2023-11-01 01:40:59,892.0,23.8,45.31
2023-11-01 01:51:05,954.0,23.7,45.31
2023-11-01 02:01:11,942.0,23.7,45.31
2023-11-01 02:11:18,867.0,23.7,45.31
2023-11-01 02:21:24,903.0,23.8,45.31
2023-11-01 02:31:31,875.0,23.7,45.31
2023-11-01 02:41:37,872.0,23.7,44.92
2023-11-01 02:51:40,810.0,23.8,44.92
2023-11-01 03:01:42,839.0,23.7,44.92
2023-11-01 03:11:45,837.0,23.8,44.92
2023-11-01 03:21:47,810.0,23.7,44.92
2023-11-01 03:31:50,751.0,23.7,44.92
2023-11-01 03:41:52,776.0,23.7,44.92
2023-11-01 03:51:53,780.0,23.7,44.53
2023-11-01 04:01:56,756.0,23.8,44.53
2023-11-01 04:11:58,758.0,23.7,44.53
2023-11-01 04:22:01,730.0,23.8,44.53
2023-11-01 04:31:31,730.0,23.8,44.53
2023-11-01 04:41:42,731.0,23.7,44.53
2023-11-01 04:51:58,718.0,23.7,44.53
2023-11-01 05:02:14,709.0,23.7,44.14
2023-11-01 05:11:58,705.0,23.7,44.14
2023-11-01 05:22:16,696.0,23.7,44.14
2023-11-01 05:32:19,660.0,23.7,44.14
2023-11-01 05:42:21,679.0,23.7,44.14
2023-11-01 05:52:23,662.0,23.7,44.14
2023-11-01 06:02:26,666.0,23.6,44.14
2023-11-01 06:12:28,641.0,23.7,43.75
2023-11-01 06:22:31,630.0,23.6,43.75
2023-11-01 06:32:33,679.0,23.7,43.75
2023-11-01 06:42:36,646.0,23.7,43.75
2023-11-01 06:52:38,649.0,23.7,43.36
2023-11-01 07:02:41,641.0,23.7,43.36
2023-11-01 07:12:43,545.0,23.7,41.02
2023-11-01 07:22:46,495.0,23.6,39.06
2023-11-01 07:32:48,456.0,23.5,38.28
2023-11-01 07:42:50,475.0,23.6,36.72
2023-11-01 07:52:52,467.0,23.6,36.33
2023-11-01 08:02:54,496.0,23.5,35.94
2023-11-01 08:12:57,451.0,23.5,35.55
2023-11-01 08:22:59,480.0,23.5,35.94
2023-11-01 08:32:45,487.0,23.5,35.94
2023-11-01 08:42:48,530.0,23.5,36.33
2023-11-01 08:53:06,634.0,23.5,37.5
2023-11-01 09:03:09,669.0,23.5,37.5
2023-11-01 09:13:11,671.0,23.6,37.5
2023-11-01 09:33:16,690.0,23.7,37.11
2023-11-01 09:43:18,696.0,23.6,36.72
2023-11-01 09:53:21,662.0,23.6,37.11
2023-11-01 10:03:23,709.0,23.7,37.11
2023-11-01 10:13:26,728.0,23.8,37.11
2023-11-01 10:23:28,704.0,23.7,37.11
2023-11-01 10:33:31,749.0,23.8,37.11
2023-11-01 10:43:33,723.0,23.8,36.72
2023-11-01 10:53:36,756.0,23.8,37.11
2023-11-01 11:03:06,756.0,23.8,37.11
2023-11-01 11:13:16,706.0,23.8,36.33
2023-11-01 11:23:32,694.0,23.8,36.33
2023-11-01 11:33:48,936.0,23.7,38.28
2023-11-01 11:43:49,901.0,23.7,39.06
2023-11-01 11:53:55,984.0,23.7,39.45
2023-11-01 12:03:57,925.0,23.7,38.28
2023-11-01 12:14:00,928.0,23.8,38.28
2023-11-01 12:24:06,854.0,23.9,37.5
2023-11-01 12:34:13,830.0,24.0,37.89
2023-11-01 12:44:15,841.0,23.9,37.11
2023-11-01 12:54:18,943.0,24.0,37.89
2023-11-01 13:04:20,921.0,24.0,37.89
2023-11-01 13:14:23,922.0,24.1,37.5
2023-11-01 13:24:29,969.0,24.1,37.11
2023-11-01 13:34:32,906.0,24.2,36.72
2023-11-01 13:44:34,902.0,24.1,36.33
2023-11-01 13:54:41,889.0,24.1,36.33
2023-11-01 14:04:31,861.0,24.0,36.33
2023-11-01 14:14:53,874.0,24.0,36.72
2023-11-01 14:25:00,951.0,24.1,37.11
2023-11-01 14:35:06,948.0,24.0,37.11
2023-11-01 14:45:13,969.0,24.0,37.5
2023-11-01 14:55:19,934.0,24.1,37.5
2023-11-01 15:05:26,978.0,24.0,37.5
2023-11-01 15:15:32,906.0,24.1,37.5
2023-11-01 15:25:39,985.0,24.0,37.89
2023-11-01 15:35:29,925.0,24.0,37.89
2023-11-01 15:45:51,950.0,24.0,37.89
2023-11-01 15:55:57,901.0,24.1,38.28
