datetime,co2,temperature,humidity,closed
2023-11-01 00:01:54,854.0,22.2,50.0,
2023-11-01 00:03:52,,,,1.0
2023-11-01 00:08:49,,,,1.0
2023-11-01 00:11:55,832.0,22.2,49.61,
2023-11-01 00:18:49,,,,1.0
2023-11-01 00:21:56,843.0,22.2,49.61,
2023-11-01 00:23:49,,,,1.0
2023-11-01 00:28:49,,,,1.0
2023-11-01 00:33:49,,,,1.0
2023-11-01 00:38:49,,,,1.0
2023-11-01 00:42:01,860.0,22.2,49.61,
2023-11-01 00:43:49,,,,1.0
2023-11-01 00:48:52,,,,1.0
2023-11-01 00:51:47,777.0,22.2,49.61,
2023-11-01 00:53:49,,,,1.0
2023-11-01 00:58:49,,,,1.0
2023-11-01 01:02:06,787.0,22.2,49.61,
2023-11-01 01:03:49,,,,1.0
2023-11-01 01:08:49,,,,1.0
2023-11-01 01:13:49,,,,1.0
2023-11-01 01:18:48,,,,1.0
2023-11-01 01:21:54,765.0,22.2,49.22,
2023-11-01 01:23:48,,,,1.0
2023-11-01 01:28:48,,,,1.0
2023-11-01 01:32:13,743.0,22.2,49.22,
2023-11-01 01:33:48,,,,1.0
2023-11-01 01:38:48,,,,1.0
2023-11-01 01:42:15,744.0,22.2,49.22,
2023-11-01 01:43:48,,,,1.0
2023-11-01 01:48:48,,,,1.0
2023-11-01 01:52:16,703.0,22.2,48.83,
2023-11-01 01:53:48,,,,1.0
2023-11-01 01:58:48,,,,1.0
2023-11-01 02:02:02,712.0,22.2,48.83,
2023-11-01 02:03:48,,,,1.0
2023-11-01 02:08:48,,,,1.0
2023-11-01 02:12:28,689.0,22.2,48.83,
2023-11-01 02:13:48,,,,1.0
2023-11-01 02:18:49,,,,1.0
2023-11-01 02:22:34,712.0,22.2,48.83,
2023-11-01 02:23:48,,,,1.0
2023-11-01 02:28:48,,,,1.0
2023-11-01 02:32:26,710.0,22.2,48.83,
2023-11-01 02:33:48,,,,1.0
2023-11-01 02:38:48,,,,1.0
2023-11-01 02:42:50,729.0,22.2,48.83,
2023-11-01 02:43:48,,,,1.0
2023-11-01 02:48:48,,,,1.0
2023-11-01 02:52:58,673.0,22.2,48.83,
2023-11-01 02:53:48,,,,1.0
2023-11-01 02:58:48,,,,1.0
2023-11-01 03:02:43,673.0,22.2,48.44,
2023-11-01 03:03:48,,,,1.0
2023-11-01 03:08:48,,,,1.0
2023-11-01 03:13:10,642.0,22.2,48.44,
2023-11-01 03:13:48,,,,1.0
2023-11-01 03:18:48,,,,1.0
2023-11-01 03:23:16,673.0,22.2,48.44,
2023-11-01 03:23:48,,,,1.0
2023-11-01 03:28:48,,,,1.0
2023-11-01 03:33:24,622.0,22.2,48.44,
2023-11-01 03:33:48,,,,1.0
2023-11-01 03:38:48,,,,1.0
2023-11-01 03:43:34,613.0,22.2,48.44,
2023-11-01 03:43:48,,,,1.0
2023-11-01 03:48:48,,,,1.0
