DateFrom,DateTo,mean_temp,mean_relative_hum,mean_wind_speed,mean_wind_dir,mean_pressure,mean_cloud_cover,mean_radiation
2024-02-09 12:00:00+00:00,2024-02-09 13:00:00+00:00,0.1,84.5,5.5,102.0,996.6,94.0,54.2
2024-02-09 11:00:00+00:00,2024-02-09 12:00:00+00:00,0.2,79.1,5.3,102.0,997.2,100.0,64.8
2024-02-09 10:00:00+00:00,2024-02-09 11:00:00+00:00,0.1,77.9,4.9,99.0,998.0,97.0,56.5
2024-02-09 09:00:00+00:00,2024-02-09 10:00:00+00:00,-0.4,81.2,4.2,94.0,998.6,91.0,51.7
2024-02-09 08:00:00+00:00,2024-02-09 09:00:00+00:00,-0.6,82.6,4.1,86.0,999.0,91.0,34.6
2024-02-09 07:00:00+00:00,2024-02-09 08:00:00+00:00,-0.7,83.4,4.1,90.0,999.2,94.0,11.1
2024-02-09 06:00:00+00:00,2024-02-09 07:00:00+00:00,-0.7,82.9,4.3,99.0,999.0,90.0,0.0
2024-02-09 05:00:00+00:00,2024-02-09 06:00:00+00:00,-0.7,83.0,4.3,101.0,999.0,96.0,0.0
2024-02-09 04:00:00+00:00,2024-02-09 05:00:00+00:00,-0.4,85.2,4.2,100.0,999.4,81.0,0.0
2024-02-09 03:00:00+00:00,2024-02-09 04:00:00+00:00,-0.2,86.8,3.3,99.0,999.7,91.0,0.0
2024-02-09 02:00:00+00:00,2024-02-09 03:00:00+00:00,-0.2,87.6,3.6,106.0,1000.1,86.0,0.0
2024-02-09 01:00:00+00:00,2024-02-09 02:00:00+00:00,-0.3,86.9,3.0,107.0,1000.3,72.0,0.0
2024-02-09 00:00:00+00:00,2024-02-09 01:00:00+00:00,-0.2,88.9,3.0,109.0,1000.5,88.0,0.0
2024-02-08 23:00:00+00:00,2024-02-09 00:00:00+00:00,-0.3,91.3,2.2,104.0,1000.6,84.0,0.0
2024-02-08 22:00:00+00:00,2024-02-08 23:00:00+00:00,-0.3,91.4,1.2,95.0,1000.5,72.0,0.0
2024-02-08 21:00:00+00:00,2024-02-08 22:00:00+00:00,-0.7,93.3,0.7,96.0,1000.1,38.0,0.0
2024-02-08 20:00:00+00:00,2024-02-08 21:00:00+00:00,-0.9,93.7,0.4,87.0,999.8,14.0,0.0
2024-02-08 19:00:00+00:00,2024-02-08 20:00:00+00:00,-0.7,92.9,0.2,9.0,999.7,26.0,0.0
2024-02-08 18:00:00+00:00,2024-02-08 19:00:00+00:00,-0.2,89.2,0.1,2.0,999.4,2.0,0.0
