datetime,co2,temperature,humidity,closed,motor_position,motor_range,trv_temperature,target_temperature
2023-11-01 00:01:42,,,,,554.0,554.0,25.7,23.0
2023-11-01 00:02:10,726.0,22.1,51.95,,,,,
2023-11-01 00:11:43,,,,,554.0,554.0,25.7,23.0
2023-11-01 00:12:12,678.0,22.1,51.95,,,,,
2023-11-01 00:21:44,,,,,554.0,554.0,25.7,23.0
2023-11-01 00:22:15,705.0,22.0,51.95,,,,,
2023-11-01 00:28:33,,,,True,,,,
2023-11-01 00:41:46,,,,,554.0,554.0,25.7,23.0
2023-11-01 00:42:19,694.0,22.1,51.95,,,,,
2023-11-01 00:51:47,,,,,554.0,554.0,25.7,23.0
2023-11-01 00:52:22,699.0,21.9,51.95,,,,,
2023-11-01 00:58:33,,,,True,,,,
2023-11-01 01:01:48,,,,,554.0,554.0,25.7,23.0
2023-11-01 01:02:08,725.0,22.1,51.95,,,,,
2023-11-01 01:11:49,,,,,554.0,554.0,25.7,23.0
2023-11-01 01:12:26,702.0,22.1,51.95,,,,,
2023-11-01 01:21:49,,,,,554.0,554.0,25.7,23.0
2023-11-01 01:22:29,687.0,22.0,51.95,,,,,
2023-11-01 01:28:33,,,,True,,,,
2023-11-01 01:31:50,,,,,554.0,554.0,25.7,23.0
2023-11-01 01:32:31,723.0,22.1,51.56,,,,,
2023-11-01 01:41:50,,,,,554.0,554.0,25.7,23.0
2023-11-01 01:42:34,682.0,22.0,51.56,,,,,
2023-11-01 01:51:52,,,,,554.0,554.0,25.7,23.0
2023-11-01 01:52:36,673.0,22.0,51.56,,,,,
2023-11-01 01:58:33,,,,True,,,,
2023-11-01 02:01:53,,,,,554.0,554.0,25.5,23.0
2023-11-01 02:02:38,640.0,22.1,51.56,,,,,
2023-11-01 02:11:54,,,,,554.0,554.0,25.5,23.0
2023-11-01 02:12:41,719.0,22.0,51.56,,,,,
2023-11-01 02:21:55,,,,,554.0,554.0,25.7,23.0
2023-11-01 02:22:43,679.0,22.0,51.56,,,,,
2023-11-01 02:28:33,,,,True,,,,
2023-11-01 02:31:56,,,,,554.0,554.0,25.5,23.0
2023-11-01 02:32:46,667.0,22.1,51.56,,,,,
2023-11-01 02:41:57,,,,,554.0,554.0,25.5,23.0
2023-11-01 02:42:48,637.0,22.2,51.56,,,,,
2023-11-01 02:51:58,,,,,554.0,554.0,25.5,23.0
2023-11-01 02:52:50,666.0,22.1,51.56,,,,,
2023-11-01 02:58:33,,,,True,,,,
2023-11-01 03:01:59,,,,,554.0,554.0,25.7,23.0
2023-11-01 03:02:53,654.0,22.2,51.17,,,,,
2023-11-01 03:12:00,,,,,554.0,554.0,25.7,23.0
2023-11-01 03:12:55,684.0,22.2,51.17,,,,,
2023-11-01 03:22:01,,,,,554.0,554.0,25.7,23.0
2023-11-01 03:22:58,636.0,22.1,51.17,,,,,
2023-11-01 03:28:32,,,,True,,,,
2023-11-01 03:32:00,,,,,554.0,554.0,25.7,23.0
2023-11-01 03:33:00,673.0,22.1,51.17,,,,,
2023-11-01 03:42:03,,,,,554.0,554.0,25.7,23.0
2023-11-01 03:43:02,682.0,22.0,51.56,,,,,
2023-11-01 03:52:04,,,,,554.0,554.0,25.7,23.0
2023-11-01 03:53:05,645.0,22.0,51.56,,,,,
2023-11-01 03:58:32,,,,True,,,,
2023-11-01 04:02:03,,,,,554.0,554.0,25.7,23.0
2023-11-01 04:03:07,631.0,22.0,51.56,,,,,
2023-11-01 04:12:05,,,,,554.0,554.0,25.7,23.0
2023-11-01 04:13:10,602.0,22.1,51.56,,,,,
2023-11-01 04:22:06,,,,,554.0,554.0,25.7,23.0
2023-11-01 04:22:40,602.0,22.1,51.56,,,,,
2023-11-01 04:28:32,,,,True,,,,
2023-11-01 04:32:07,,,,,554.0,554.0,25.7,23.0
2023-11-01 04:32:50,633.0,22.0,51.56,,,,,
2023-11-01 04:42:08,,,,,554.0,554.0,25.5,23.0
2023-11-01 04:43:06,679.0,22.0,51.56,,,,,
2023-11-01 04:52:09,,,,,554.0,554.0,25.7,23.0
2023-11-01 04:53:22,627.0,22.0,51.56,,,,,
2023-11-01 04:58:32,,,,True,,,,
2023-11-01 05:02:10,,,,,554.0,554.0,25.5,23.0
2023-11-01 05:03:22,654.0,22.0,51.56,,,,,
2023-11-01 05:12:11,,,,,554.0,554.0,25.5,23.0
2023-11-01 05:13:25,611.0,22.0,51.17,,,,,
2023-11-01 05:22:12,,,,,554.0,554.0,25.7,23.0
2023-11-01 05:23:27,640.0,22.1,51.17,,,,,
2023-11-01 05:28:32,,,,True,,,,
2023-11-01 05:32:13,,,,,554.0,554.0,25.7,23.0
2023-11-01 05:33:30,608.0,22.0,51.17,,,,,
2023-11-01 05:42:14,,,,,554.0,554.0,25.7,23.0
2023-11-01 05:43:32,590.0,22.0,51.17,,,,,
2023-11-01 05:52:15,,,,,554.0,554.0,25.7,23.0
2023-11-01 05:53:34,573.0,22.0,51.17,,,,,
2023-11-01 05:58:32,,,,True,,,,
2023-11-01 06:02:16,,,,,554.0,554.0,25.7,23.0
2023-11-01 06:03:37,589.0,22.1,51.17,,,,,
2023-11-01 06:12:17,,,,,554.0,554.0,25.7,23.0
2023-11-01 06:13:23,589.0,22.0,51.17,,,,,
2023-11-01 06:22:18,,,,,554.0,554.0,25.7,23.0
2023-11-01 06:23:42,593.0,22.1,51.17,,,,,
2023-11-01 06:28:32,,,,True,,,,
2023-11-01 06:32:19,,,,,554.0,554.0,25.9,23.0
2023-11-01 06:33:44,622.0,22.1,51.17,,,,,
2023-11-01 06:42:19,,,,,554.0,554.0,25.9,23.0
2023-11-01 06:43:46,615.0,22.1,51.17,,,,,
2023-11-01 06:52:20,,,,,554.0,554.0,25.9,23.0
2023-11-01 06:53:49,621.0,22.1,51.17,,,,,
2023-11-01 06:58:32,,,,True,,,,
2023-11-01 07:02:21,,,,,554.0,554.0,25.9,23.0
2023-11-01 07:03:51,611.0,22.0,51.17,,,,,
2023-11-01 07:12:22,,,,,554.0,554.0,25.9,23.0
2023-11-01 07:13:54,596.0,22.1,51.17,,,,,
2023-11-01 07:17:03,,,,False,,,,
2023-11-01 07:22:23,,,,,554.0,554.0,25.5,23.0
2023-11-01 07:23:56,603.0,22.1,50.78,,,,,
2023-11-01 07:28:31,,,,False,,,,
2023-11-01 07:32:24,,,,,554.0,554.0,23.8,23.0
2023-11-01 07:33:59,464.0,21.8,36.33,,,,,
2023-11-01 07:42:25,,,,,554.0,554.0,22.2,23.0
2023-11-01 07:44:00,447.0,21.2,38.28,,,,,
2023-11-01 07:46:06,,,,True,,,,
2023-11-01 07:52:26,,,,,534.0,554.0,22.0,23.0
2023-11-01 07:54:02,458.0,21.0,38.28,,,,,
2023-11-01 07:58:31,,,,True,,,,
2023-11-01 08:02:27,,,,,514.0,554.0,23.1,23.0
2023-11-01 08:04:04,549.0,21.1,44.14,,,,,
2023-11-01 08:12:28,,,,,514.0,554.0,23.9,23.0
2023-11-01 08:14:07,683.0,21.2,46.48,,,,,
2023-11-01 08:22:29,,,,,514.0,554.0,24.1,23.0
2023-11-01 08:23:53,747.0,21.4,46.88,,,,,
2023-11-01 08:28:31,,,,True,,,,
2023-11-01 08:32:30,,,,,534.0,554.0,24.3,23.0
2023-11-01 08:34:12,886.0,21.4,47.27,,,,,
2023-11-01 08:42:29,,,,,554.0,554.0,24.6,23.0
2023-11-01 08:44:14,767.0,21.5,47.27,,,,,
2023-11-01 08:52:32,,,,,554.0,554.0,24.8,23.0
2023-11-01 08:54:16,813.0,21.6,47.66,,,,,
2023-11-01 08:58:31,,,,True,,,,
2023-11-01 09:02:33,,,,,554.0,554.0,25.0,23.0
2023-11-01 09:04:19,844.0,21.6,47.66,,,,,
2023-11-01 09:12:34,,,,,554.0,554.0,25.2,23.0
2023-11-01 09:14:21,834.0,21.7,47.66,,,,,
2023-11-01 09:22:34,,,,,554.0,554.0,25.4,23.0
2023-11-01 09:24:24,809.0,21.8,47.27,,,,,
2023-11-01 09:28:31,,,,True,,,,
2023-11-01 09:32:35,,,,,554.0,554.0,25.4,23.0
2023-11-01 09:34:26,797.0,21.8,47.27,,,,,
2023-11-01 09:42:36,,,,,554.0,554.0,25.4,23.0
2023-11-01 09:44:28,853.0,21.8,47.27,,,,,
2023-11-01 09:52:37,,,,,554.0,554.0,25.4,23.0
2023-11-01 09:54:31,828.0,21.9,47.27,,,,,
2023-11-01 09:58:31,,,,True,,,,
2023-11-01 10:02:38,,,,,554.0,554.0,25.4,23.0
2023-11-01 10:04:33,781.0,21.9,47.66,,,,,
2023-11-01 10:12:39,,,,,554.0,554.0,25.5,23.0
2023-11-01 10:14:35,811.0,21.8,47.66,,,,,
2023-11-01 10:22:40,,,,,554.0,554.0,25.4,23.0
2023-11-01 10:24:38,801.0,21.9,47.66,,,,,
2023-11-01 10:28:31,,,,True,,,,
2023-11-01 10:32:41,,,,,554.0,554.0,25.4,23.0
2023-11-01 10:34:24,814.0,21.9,47.66,,,,,
2023-11-01 10:42:42,,,,,554.0,554.0,25.5,23.0
2023-11-01 10:44:43,814.0,21.9,48.05,,,,,
2023-11-01 10:52:43,,,,,554.0,554.0,25.5,23.0
2023-11-01 10:54:13,814.0,21.9,48.05,,,,,
2023-11-01 10:58:31,,,,True,,,,
2023-11-01 11:02:44,,,,,554.0,554.0,25.5,23.0
2023-11-01 11:04:23,854.0,21.9,46.88,,,,,
2023-11-01 11:12:45,,,,,554.0,554.0,25.7,23.0
2023-11-01 11:14:39,809.0,21.9,47.66,,,,,
2023-11-01 11:22:46,,,,,554.0,554.0,25.5,23.0
2023-11-01 11:24:56,814.0,21.8,47.66,,,,,
2023-11-01 11:28:31,,,,True,,,,
2023-11-01 11:32:47,,,,,554.0,554.0,25.5,23.0
2023-11-01 11:34:56,836.0,21.8,48.05,,,,,
2023-11-01 11:42:48,,,,,554.0,554.0,25.4,23.0
2023-11-01 11:44:58,912.0,21.8,47.27,,,,,
2023-11-01 11:52:48,,,,,554.0,554.0,25.5,23.0
2023-11-01 11:54:44,862.0,21.9,47.66,,,,,
2023-11-01 11:58:30,,,,True,,,,
2023-11-01 12:01:08,,,,False,,,,
2023-11-01 12:01:41,,,,True,,,,
2023-11-01 12:01:44,,,,False,,,,
2023-11-01 12:02:49,,,,,554.0,554.0,25.5,23.0
2023-11-01 12:05:03,945.0,21.8,48.05,,,,,
2023-11-01 12:12:50,,,,,554.0,554.0,25.2,23.0
2023-11-01 12:15:05,948.0,21.8,47.66,,,,,
2023-11-01 12:22:51,,,,,554.0,554.0,24.6,23.0
2023-11-01 12:25:08,813.0,21.8,44.92,,,,,
2023-11-01 12:28:30,,,,False,,,,
2023-11-01 12:32:52,,,,,554.0,554.0,24.5,23.0
2023-11-01 12:35:10,618.0,21.7,41.02,,,,,
2023-11-01 12:42:53,,,,,554.0,554.0,24.3,23.0
2023-11-01 12:45:12,614.0,21.6,39.84,,,,,
2023-11-01 12:52:54,,,,,554.0,554.0,24.1,23.0
2023-11-01 12:55:15,647.0,21.6,39.06,,,,,
2023-11-01 12:58:30,,,,False,,,,
2023-11-01 13:02:55,,,,,554.0,554.0,24.1,23.0
2023-11-01 13:05:01,592.0,21.6,37.89,,,,,
2023-11-01 13:12:56,,,,,554.0,554.0,24.1,23.0
2023-11-01 13:13:00,,,,True,,,,
2023-11-01 13:15:20,718.0,21.5,40.23,,,,,
2023-11-01 13:22:57,,,,,554.0,554.0,24.1,23.0
2023-11-01 13:25:22,906.0,21.5,43.36,,,,,
2023-11-01 13:28:30,,,,True,,,,
2023-11-01 13:32:58,,,,,554.0,554.0,24.5,23.0
2023-11-01 13:35:24,799.0,21.5,43.36,,,,,
2023-11-01 13:42:59,,,,,554.0,554.0,24.6,23.0
2023-11-01 13:45:26,804.0,21.5,43.36,,,,,
2023-11-01 13:53:00,,,,,554.0,554.0,24.6,23.0
2023-11-01 13:55:28,804.0,21.7,43.36,,,,,
2023-11-01 13:58:30,,,,True,,,,
