datetime,co2,temperature,humidity,closed
2023-11-01 00:00:52,1199.0,21.8,54.69,
2023-11-01 00:08:19,,,,True
2023-11-01 00:08:27,,,,True
2023-11-01 00:10:56,1189.0,21.9,54.69,
2023-11-01 00:21:00,1189.0,21.9,54.3,
2023-11-01 00:31:04,1052.0,21.8,54.3,
2023-11-01 00:38:19,,,,True
2023-11-01 00:38:26,,,,True
2023-11-01 00:41:08,1097.0,21.9,54.3,
2023-11-01 00:51:12,1146.0,21.8,54.3,
2023-11-01 01:01:16,1065.0,21.8,54.3,
2023-11-01 01:08:19,,,,True
2023-11-01 01:08:26,,,,True
2023-11-01 01:11:21,1124.0,21.8,54.3,
2023-11-01 01:21:25,1061.0,21.8,54.3,
2023-11-01 01:31:29,1048.0,21.8,53.91,
2023-11-01 01:38:19,,,,True
2023-11-01 01:38:26,,,,True
2023-11-01 01:41:33,1051.0,21.8,53.91,
2023-11-01 01:51:37,968.0,21.8,53.91,
2023-11-01 02:01:41,1081.0,21.8,53.91,
2023-11-01 02:08:19,,,,True
2023-11-01 02:08:26,,,,True
2023-11-01 02:11:45,979.0,21.8,53.91,
2023-11-01 02:21:50,1034.0,21.8,53.91,
2023-11-01 02:31:54,922.0,21.8,53.52,
2023-11-01 02:38:18,,,,True
2023-11-01 02:38:26,,,,True
2023-11-01 02:41:58,996.0,21.8,53.52,
2023-11-01 02:52:38,962.0,21.7,53.52,
2023-11-01 03:02:08,876.0,21.8,53.52,
2023-11-01 03:08:18,,,,True
2023-11-01 03:08:26,,,,True
2023-11-01 03:12:12,881.0,21.7,53.52,
2023-11-01 03:22:17,874.0,21.7,53.52,
2023-11-01 03:32:21,872.0,21.8,53.12,
2023-11-01 03:38:18,,,,True
2023-11-01 03:38:26,,,,True
2023-11-01 03:42:25,926.0,21.7,53.12,
2023-11-01 03:52:29,862.0,21.7,53.12,
2023-11-01 04:02:33,864.0,21.7,53.12,
2023-11-01 04:08:18,,,,True
2023-11-01 04:08:26,,,,True
2023-11-01 04:12:37,912.0,21.7,53.12,
2023-11-01 04:23:14,821.0,21.7,53.12,
2023-11-01 04:33:16,790.0,21.7,53.12,
2023-11-01 04:38:18,,,,True
2023-11-01 04:38:25,,,,True
2023-11-01 04:43:18,881.0,21.7,53.12,
2023-11-01 04:52:49,881.0,21.7,53.12,
2023-11-01 05:02:59,894.0,21.7,53.12,
2023-11-01 05:08:18,,,,True
2023-11-01 05:08:25,,,,True
2023-11-01 05:13:15,833.0,21.7,53.12,
2023-11-01 05:23:31,881.0,21.7,53.12,
2023-11-01 05:33:31,790.0,21.7,52.73,
2023-11-01 05:38:18,,,,True
2023-11-01 05:38:25,,,,True
2023-11-01 05:43:34,855.0,21.7,52.73,
2023-11-01 05:53:36,805.0,21.7,52.73,
2023-11-01 06:03:39,757.0,21.7,52.73,
2023-11-01 06:08:18,,,,True
2023-11-01 06:08:25,,,,True
2023-11-01 06:13:40,814.0,21.6,52.73,
2023-11-01 06:23:42,781.0,21.6,52.73,
2023-11-01 06:33:45,781.0,21.6,52.73,
2023-11-01 06:38:17,,,,True
2023-11-01 06:38:25,,,,True
2023-11-01 06:43:47,790.0,21.6,52.73,
2023-11-01 06:53:49,766.0,21.6,52.73,
2023-11-01 07:03:52,744.0,21.6,52.34,
2023-11-01 07:08:17,,,,True
2023-11-01 07:08:25,,,,True
2023-11-01 07:13:54,796.0,21.6,52.34,
2023-11-01 07:23:57,826.0,21.6,52.34,
2023-11-01 07:33:59,781.0,21.7,52.34,
2023-11-01 07:38:17,,,,True
2023-11-01 07:38:25,,,,True
2023-11-01 07:44:01,732.0,21.6,52.34,
2023-11-01 07:54:04,744.0,21.6,51.95,
2023-11-01 08:04:06,795.0,21.7,51.95,
2023-11-01 08:08:17,,,,True
2023-11-01 08:08:25,,,,True
2023-11-01 08:14:09,933.0,21.8,51.17,
2023-11-01 08:24:15,1042.0,22.1,50.78,
2023-11-01 08:34:17,1303.0,22.3,51.17,
2023-11-01 08:38:17,,,,True
2023-11-01 08:38:24,,,,True
2023-11-01 08:44:04,1439.0,22.6,51.95,
2023-11-01 08:54:30,1718.0,22.8,52.73,
2023-11-01 09:04:33,1982.0,23.0,53.52,
2023-11-01 09:08:17,,,,True
2023-11-01 09:08:24,,,,True
2023-11-01 09:14:35,1912.0,23.1,52.73,
2023-11-01 09:24:41,1870.0,23.1,52.34,
2023-11-01 09:34:48,1825.0,23.2,51.95,
2023-11-01 09:38:17,,,,True
2023-11-01 09:38:24,,,,True
