datetime,closed,co2,temperature,humidity,motor_position,motor_range,trv_temperature,target_temperature
2023-11-01 00:03:02,True,,,,,,,
2023-11-01 00:03:08,True,,,,,,,
2023-11-01 00:09:14,,1091.0,22.1,51.95,,,,
2023-11-01 00:19:20,,1116.0,22.2,51.95,,,,
2023-11-01 00:29:27,,1110.0,22.2,51.95,,,,
2023-11-01 00:33:02,True,,,,,,,
2023-11-01 00:33:08,True,,,,,,,
2023-11-01 00:39:33,,1102.0,22.1,51.95,,,,
2023-11-01 00:49:39,,1030.0,22.1,51.95,,,,
2023-11-01 00:59:46,,1060.0,22.1,51.95,,,,
2023-11-01 01:03:02,True,,,,,,,
2023-11-01 01:03:08,True,,,,,,,
2023-11-01 01:09:52,,1070.0,22.2,51.95,,,,
2023-11-01 01:19:59,,1093.0,22.1,51.95,,,,
2023-11-01 01:30:05,,1036.0,22.1,51.95,,,,
2023-11-01 01:33:02,True,,,,,,,
2023-11-01 01:33:08,True,,,,,,,
2023-11-01 01:40:11,,1074.0,22.2,51.95,,,,
2023-11-01 01:50:18,,1026.0,22.1,51.95,,,,
2023-11-01 02:00:24,,1008.0,22.1,51.95,,,,
2023-11-01 02:03:02,True,,,,,,,
2023-11-01 02:03:08,True,,,,,,,
2023-11-01 02:10:31,,1000.0,22.1,51.95,,,,
2023-11-01 02:20:37,,941.0,22.1,51.95,,,,
2023-11-01 02:30:43,,993.0,22.1,51.95,,,,
2023-11-01 02:33:02,True,,,,,,,
2023-11-01 02:33:08,True,,,,,,,
2023-11-01 02:40:50,,961.0,22.1,51.95,,,,
2023-11-01 02:50:56,,997.0,22.0,51.95,,,,
2023-11-01 03:01:03,,984.0,22.1,51.95,,,,
2023-11-01 03:03:01,True,,,,,,,
2023-11-01 03:03:07,True,,,,,,,
2023-11-01 03:11:09,,957.0,22.1,51.95,,,,
2023-11-01 03:21:16,,981.0,22.2,51.56,,,,
2023-11-01 03:31:22,,968.0,22.1,51.56,,,,
2023-11-01 03:33:01,True,,,,,,,
2023-11-01 03:33:07,True,,,,,,,
2023-11-01 03:41:28,,959.0,22.1,51.95,,,,
2023-11-01 03:51:35,,944.0,22.1,51.56,,,,
2023-11-01 04:01:41,,888.0,22.1,51.56,,,,
2023-11-01 04:03:01,True,,,,,,,
2023-11-01 04:03:07,True,,,,,,,
2023-11-01 04:11:46,,904.0,22.0,51.56,,,,
2023-11-01 04:21:49,,894.0,22.1,51.56,,,,
2023-11-01 04:31:51,,941.0,22.1,51.56,,,,
2023-11-01 04:33:01,True,,,,,,,
2023-11-01 04:33:07,True,,,,,,,
2023-11-01 04:41:58,,894.0,22.0,51.56,,,,
2023-11-01 04:51:32,,894.0,22.0,51.56,,,,
2023-11-01 05:01:46,,919.0,22.0,51.56,,,,
2023-11-01 05:03:01,True,,,,,,,
2023-11-01 05:03:07,True,,,,,,,
2023-11-01 05:12:07,,894.0,22.1,51.56,,,,
2023-11-01 05:22:27,,893.0,22.0,51.56,,,,
2023-11-01 05:32:31,,941.0,22.0,51.56,,,,
2023-11-01 05:33:01,True,,,,,,,
2023-11-01 05:33:07,True,,,,,,,
2023-11-01 05:42:37,,891.0,22.0,51.56,,,,
2023-11-01 05:52:44,,927.0,22.0,51.56,,,,
