datetime,closed,motor_position,motor_range,trv_temperature,target_temperature,co2,temperature,humidity
2023-11-01 00:00:21,,,,,,1410.0,22.8,50.78
2023-11-01 00:01:19,,532.0,532.0,27.8,20.0,,,
2023-11-01 00:03:51,1.0,,,,,,,
2023-11-01 00:08:51,1.0,,,,,,,
2023-11-01 00:10:27,,,,,,1301.0,22.9,50.78
2023-11-01 00:11:19,,532.0,532.0,27.8,20.0,,,
2023-11-01 00:13:51,1.0,,,,,,,
2023-11-01 00:18:51,1.0,,,,,,,
2023-11-01 00:20:32,,,,,,1251.0,22.9,50.78
2023-11-01 00:21:21,,532.0,532.0,27.8,20.0,,,
2023-11-01 00:23:51,1.0,,,,,,,
2023-11-01 00:28:51,1.0,,,,,,,
2023-11-01 00:30:39,,,,,,1338.0,22.9,50.78
2023-11-01 00:31:21,,532.0,532.0,27.8,20.0,,,
2023-11-01 00:33:51,1.0,,,,,,,
2023-11-01 00:38:51,1.0,,,,,,,
2023-11-01 00:40:45,,,,,,1263.0,22.8,50.78
2023-11-01 00:41:22,,532.0,532.0,27.8,20.0,,,
2023-11-01 00:43:51,1.0,,,,,,,
2023-11-01 00:48:51,1.0,,,,,,,
2023-11-01 00:50:36,,,,,,1270.0,22.8,50.39
2023-11-01 00:51:23,,532.0,532.0,27.8,20.0,,,
2023-11-01 00:53:51,1.0,,,,,,,
2023-11-01 00:58:51,1.0,,,,,,,
2023-11-01 01:00:58,,,,,,1202.0,22.8,50.39
2023-11-01 01:01:24,,532.0,532.0,27.8,20.0,,,
2023-11-01 01:03:51,1.0,,,,,,,
2023-11-01 01:08:51,1.0,,,,,,,
2023-11-01 01:11:05,,,,,,1196.0,22.8,50.39
2023-11-01 01:11:25,,532.0,532.0,27.8,20.0,,,
2023-11-01 01:13:51,1.0,,,,,,,
2023-11-01 01:18:51,1.0,,,,,,,
2023-11-01 01:21:11,,,,,,1233.0,22.8,50.39
2023-11-01 01:21:26,,532.0,532.0,27.8,20.0,,,
2023-11-01 01:23:51,1.0,,,,,,,
2023-11-01 01:28:51,1.0,,,,,,,
2023-11-01 01:31:17,,,,,,1220.0,22.8,50.39
2023-11-01 01:31:27,,532.0,532.0,27.8,20.0,,,
2023-11-01 01:33:51,1.0,,,,,,,
2023-11-01 01:38:51,1.0,,,,,,,
2023-11-01 01:41:08,,,,,,1171.0,22.8,50.39
2023-11-01 01:41:28,,532.0,532.0,27.8,20.0,,,
2023-11-01 01:43:51,1.0,,,,,,,
2023-11-01 01:48:51,1.0,,,,,,,
2023-11-01 01:51:29,,532.0,532.0,27.8,20.0,,,
2023-11-01 01:51:30,,,,,,1188.0,22.8,50.39
2023-11-01 01:53:51,1.0,,,,,,,
2023-11-01 01:58:51,1.0,,,,,,,
2023-11-01 02:01:30,,532.0,532.0,27.8,20.0,,,
2023-11-01 02:01:37,,,,,,1157.0,22.8,50.39
2023-11-01 02:03:51,1.0,,,,,,,
2023-11-01 02:08:51,1.0,,,,,,,
2023-11-01 02:11:31,,532.0,532.0,27.8,20.0,,,
2023-11-01 02:11:43,,,,,,1151.0,22.8,50.39
2023-11-01 02:13:51,1.0,,,,,,,
2023-11-01 02:18:51,1.0,,,,,,,
2023-11-01 02:21:32,,532.0,532.0,27.8,20.0,,,
2023-11-01 02:21:48,,,,,,1156.0,22.7,50.0
2023-11-01 02:23:51,1.0,,,,,,,
2023-11-01 02:28:51,1.0,,,,,,,
2023-11-01 02:31:33,,532.0,532.0,27.8,20.0,,,
2023-11-01 02:31:55,,,,,,1122.0,22.8,50.0
2023-11-01 02:33:51,1.0,,,,,,,
2023-11-01 02:38:51,1.0,,,,,,,
2023-11-01 02:41:34,,532.0,532.0,27.8,20.0,,,
2023-11-01 02:42:01,,,,,,1052.0,22.7,50.0
2023-11-01 02:43:51,1.0,,,,,,,
2023-11-01 02:48:51,1.0,,,,,,,
2023-11-01 02:51:35,,532.0,532.0,27.8,20.0,,,
2023-11-01 02:52:08,,,,,,1075.0,22.8,50.0
2023-11-01 02:53:51,1.0,,,,,,,
2023-11-01 02:58:51,1.0,,,,,,,
2023-11-01 03:01:35,,532.0,532.0,27.8,20.0,,,
2023-11-01 03:02:14,,,,,,1102.0,22.7,50.0
2023-11-01 03:03:51,1.0,,,,,,,
2023-11-01 03:08:51,1.0,,,,,,,
2023-11-01 03:11:36,,532.0,532.0,27.8,20.0,,,
2023-11-01 03:11:49,,,,,,1102.0,22.7,50.0
2023-11-01 03:13:51,1.0,,,,,,,
2023-11-01 03:18:51,1.0,,,,,,,
2023-11-01 03:21:37,,532.0,532.0,27.8,20.0,,,
2023-11-01 03:22:03,,,,,,1084.0,22.8,50.0
2023-11-01 03:23:51,1.0,,,,,,,
2023-11-01 03:28:51,1.0,,,,,,,
2023-11-01 03:31:38,,532.0,532.0,27.8,20.0,,,
2023-11-01 03:32:23,,,,,,1064.0,22.7,50.0
2023-11-01 03:33:51,1.0,,,,,,,
2023-11-01 03:38:51,1.0,,,,,,,
2023-11-01 03:41:39,,532.0,532.0,27.8,20.0,,,
2023-11-01 03:42:43,,,,,,1097.0,22.7,50.0
2023-11-01 03:43:51,1.0,,,,,,,
2023-11-01 03:48:51,1.0,,,,,,,
2023-11-01 03:51:40,,532.0,532.0,27.8,20.0,,,
2023-11-01 03:52:47,,,,,,996.0,22.7,50.0
2023-11-01 03:53:51,1.0,,,,,,,
2023-11-01 03:58:51,1.0,,,,,,,
2023-11-01 04:01:41,,532.0,532.0,27.8,20.0,,,
2023-11-01 04:02:54,,,,,,1044.0,22.7,50.0
2023-11-01 04:03:51,1.0,,,,,,,
2023-11-01 04:08:51,1.0,,,,,,,
2023-11-01 04:11:42,,532.0,532.0,27.8,20.0,,,
2023-11-01 04:13:00,,,,,,1005.0,22.7,50.0
2023-11-01 04:13:51,1.0,,,,,,,
2023-11-01 04:18:51,1.0,,,,,,,
2023-11-01 04:21:43,,532.0,532.0,27.8,20.0,,,
2023-11-01 04:23:05,,,,,,1024.0,22.7,50.0
2023-11-01 04:23:51,1.0,,,,,,,
2023-11-01 04:28:51,1.0,,,,,,,
2023-11-01 04:31:44,,532.0,532.0,27.8,20.0,,,
2023-11-01 04:33:12,,,,,,956.0,22.7,50.0
2023-11-01 04:33:51,1.0,,,,,,,
2023-11-01 04:38:51,1.0,,,,,,,
2023-11-01 04:41:45,,532.0,532.0,27.8,20.0,,,
2023-11-01 04:43:15,,,,,,957.0,22.7,49.61
2023-11-01 04:43:51,1.0,,,,,,,
2023-11-01 04:48:51,1.0,,,,,,,
2023-11-01 04:51:46,,532.0,532.0,27.8,20.0,,,
2023-11-01 04:53:17,,,,,,1039.0,22.7,49.61
2023-11-01 04:53:51,1.0,,,,,,,
2023-11-01 04:58:51,1.0,,,,,,,
2023-11-01 05:01:47,,532.0,532.0,27.8,20.0,,,
2023-11-01 05:03:07,,,,,,985.0,22.6,49.61
2023-11-01 05:03:51,1.0,,,,,,,
2023-11-01 05:08:50,1.0,,,,,,,
2023-11-01 05:11:48,,532.0,532.0,27.8,20.0,,,
2023-11-01 05:13:29,,,,,,964.0,22.7,49.61
2023-11-01 05:13:51,1.0,,,,,,,
2023-11-01 05:18:50,1.0,,,,,,,
2023-11-01 05:21:49,,532.0,532.0,27.8,20.0,,,
2023-11-01 05:23:36,,,,,,921.0,22.7,49.61
2023-11-01 05:23:50,1.0,,,,,,,
2023-11-01 05:28:50,1.0,,,,,,,
2023-11-01 05:31:50,,532.0,532.0,27.8,20.0,,,
2023-11-01 05:33:42,,,,,,1026.0,22.7,49.61
2023-11-01 05:33:50,1.0,,,,,,,
2023-11-01 05:38:50,1.0,,,,,,,
2023-11-01 05:41:51,,532.0,532.0,27.6,20.0,,,
2023-11-01 05:43:49,,,,,,917.0,22.7,49.61
2023-11-01 05:43:50,1.0,,,,,,,
2023-11-01 05:48:50,1.0,,,,,,,
2023-11-01 05:51:52,,532.0,532.0,27.6,20.0,,,
2023-11-01 05:53:50,1.0,,,,,,,
2023-11-01 05:53:55,,,,,,943.0,22.6,49.61
2023-11-01 05:58:50,1.0,,,,,,,
2023-11-01 06:01:52,,532.0,532.0,27.6,20.0,,,
2023-11-01 06:03:50,1.0,,,,,,,
2023-11-01 06:04:02,,,,,,947.0,22.7,49.61
2023-11-01 06:08:50,1.0,,,,,,,
2023-11-01 06:11:54,,532.0,532.0,27.6,20.0,,,
2023-11-01 06:13:50,1.0,,,,,,,
2023-11-01 06:14:08,,,,,,907.0,22.6,49.61
2023-11-01 06:18:50,1.0,,,,,,,
2023-11-01 06:21:54,,532.0,532.0,27.6,20.0,,,
2023-11-01 06:23:50,1.0,,,,,,,
2023-11-01 06:24:13,,,,,,970.0,22.6,49.61
2023-11-01 06:28:50,1.0,,,,,,,
2023-11-01 06:31:55,,532.0,532.0,27.6,20.0,,,
2023-11-01 06:33:50,1.0,,,,,,,
2023-11-01 06:34:20,,,,,,911.0,22.6,49.61
2023-11-01 06:38:51,1.0,,,,,,,
2023-11-01 06:41:56,,532.0,532.0,27.6,20.0,,,
2023-11-01 06:43:50,1.0,,,,,,,
2023-11-01 06:44:26,,,,,,892.0,22.6,49.61
2023-11-01 06:48:50,1.0,,,,,,,
2023-11-01 06:51:57,,532.0,532.0,27.6,20.0,,,
2023-11-01 06:53:50,1.0,,,,,,,
2023-11-01 06:54:33,,,,,,802.0,22.6,49.61
2023-11-01 06:58:51,1.0,,,,,,,
2023-11-01 07:01:58,,532.0,532.0,27.6,20.0,,,
2023-11-01 07:03:50,1.0,,,,,,,
2023-11-01 07:04:35,,,,,,865.0,22.6,49.61
2023-11-01 07:08:50,1.0,,,,,,,
2023-11-01 07:11:59,,532.0,532.0,27.6,20.0,,,
2023-11-01 07:13:50,1.0,,,,,,,
2023-11-01 07:14:38,,,,,,919.0,22.6,49.22
2023-11-01 07:18:50,1.0,,,,,,,
2023-11-01 07:22:00,,532.0,532.0,27.6,20.0,,,
2023-11-01 07:23:50,1.0,,,,,,,
2023-11-01 07:24:40,,,,,,797.0,22.6,49.22
2023-11-01 07:28:50,1.0,,,,,,,
2023-11-01 07:32:01,,532.0,532.0,27.8,20.0,,,
2023-11-01 07:33:50,1.0,,,,,,,
2023-11-01 07:34:42,,,,,,865.0,22.6,49.22
2023-11-01 07:38:50,1.0,,,,,,,
2023-11-01 07:42:02,,532.0,532.0,27.8,20.0,,,
2023-11-01 07:43:50,1.0,,,,,,,
2023-11-01 07:44:49,,,,,,1097.0,22.6,49.61
2023-11-01 07:48:50,1.0,,,,,,,
2023-11-01 07:52:03,,532.0,532.0,27.8,20.0,,,
2023-11-01 07:53:50,1.0,,,,,,,
2023-11-01 07:54:51,,,,,,1121.0,22.7,49.22
2023-11-01 07:58:50,1.0,,,,,,,
2023-11-01 08:02:04,,532.0,532.0,27.8,20.0,,,
2023-11-01 08:03:50,1.0,,,,,,,
2023-11-01 08:04:54,,,,,,1187.0,22.7,50.0
2023-11-01 08:08:50,1.0,,,,,,,
2023-11-01 08:12:05,,532.0,532.0,27.8,20.0,,,
2023-11-01 08:13:50,1.0,,,,,,,
2023-11-01 08:15:00,,,,,,1122.0,22.8,49.22
2023-11-01 08:18:50,1.0,,,,,,,
2023-11-01 08:22:06,,532.0,532.0,27.6,20.0,,,
2023-11-01 08:23:50,1.0,,,,,,,
2023-11-01 08:25:05,,,,,,1025.0,22.8,46.88
2023-11-01 08:28:50,1.0,,,,,,,
2023-11-01 08:32:07,,532.0,532.0,27.3,20.0,,,
2023-11-01 08:33:50,1.0,,,,,,,
2023-11-01 08:35:12,,,,,,811.0,22.7,44.53
2023-11-01 08:38:50,0.0,,,,,,,
2023-11-01 08:42:08,,532.0,532.0,27.1,20.0,,,
2023-11-01 08:43:50,0.0,,,,,,,
2023-11-01 08:45:14,,,,,,898.0,22.7,44.14
2023-11-01 08:48:50,0.0,,,,,,,
2023-11-01 08:52:09,,532.0,532.0,26.8,20.0,,,
2023-11-01 08:53:50,0.0,,,,,,,
2023-11-01 08:55:17,,,,,,861.0,22.7,43.36
2023-11-01 08:58:50,0.0,,,,,,,
2023-11-01 09:02:09,,532.0,532.0,26.6,20.0,,,
2023-11-01 09:03:50,0.0,,,,,,,
2023-11-01 09:05:19,,,,,,907.0,22.6,43.75
2023-11-01 09:08:50,0.0,,,,,,,
2023-11-01 09:12:10,,532.0,532.0,26.4,20.0,,,
2023-11-01 09:13:50,0.0,,,,,,,
2023-11-01 09:15:22,,,,,,817.0,22.6,43.36
2023-11-01 09:18:50,0.0,,,,,,,
2023-11-01 09:22:11,,532.0,532.0,26.1,20.0,,,
2023-11-01 09:23:50,0.0,,,,,,,
2023-11-01 09:25:24,,,,,,746.0,22.6,42.19
2023-11-01 09:28:50,0.0,,,,,,,
2023-11-01 09:32:12,,532.0,532.0,26.1,20.0,,,
2023-11-01 09:33:50,0.0,,,,,,,
2023-11-01 09:35:26,,,,,,610.0,22.5,41.02
2023-11-01 09:38:50,0.0,,,,,,,
2023-11-01 09:42:13,,532.0,532.0,26.1,20.0,,,
2023-11-01 09:43:50,0.0,,,,,,,
2023-11-01 09:44:57,,,,,,610.0,22.5,41.02
