datetime,closed,co2,temperature,humidity
2023-11-01 00:02:57,1.0,,,
2023-11-01 00:07:57,1.0,,,
2023-11-01 00:08:14,,766.0,21.5,54.69
2023-11-01 00:12:57,1.0,,,
2023-11-01 00:17:57,1.0,,,
2023-11-01 00:22:57,1.0,,,
2023-11-01 00:27:57,1.0,,,
2023-11-01 00:28:03,,760.0,21.5,54.69
2023-11-01 00:32:57,1.0,,,
2023-11-01 00:37:57,1.0,,,
2023-11-01 00:38:21,,760.0,21.5,54.69
2023-11-01 00:42:57,1.0,,,
2023-11-01 00:47:57,1.0,,,
2023-11-01 00:48:24,,735.0,21.5,54.69
2023-11-01 00:52:57,1.0,,,
2023-11-01 00:57:57,1.0,,,
2023-11-01 00:58:26,,754.0,21.5,54.3
2023-11-01 01:02:57,1.0,,,
2023-11-01 01:07:57,1.0,,,
2023-11-01 01:08:29,,743.0,21.5,54.69
2023-11-01 01:12:57,1.0,,,
2023-11-01 01:17:57,1.0,,,
2023-11-01 01:22:57,1.0,,,
2023-11-01 01:27:57,1.0,,,
2023-11-01 01:28:33,,710.0,21.5,54.69
2023-11-01 01:32:57,1.0,,,
2023-11-01 01:37:57,1.0,,,
2023-11-01 01:38:36,,806.0,21.5,54.69
2023-11-01 01:42:56,1.0,,,
2023-11-01 01:47:56,1.0,,,
2023-11-01 01:52:56,1.0,,,
2023-11-01 01:57:56,1.0,,,
2023-11-01 01:58:41,,705.0,21.4,54.69
2023-11-01 02:02:56,1.0,,,
2023-11-01 02:07:57,1.0,,,
2023-11-01 02:08:43,,765.0,21.5,54.69
2023-11-01 02:12:56,1.0,,,
2023-11-01 02:17:56,1.0,,,
2023-11-01 02:18:45,,712.0,21.4,54.69
2023-11-01 02:22:56,1.0,,,
2023-11-01 02:27:56,1.0,,,
2023-11-01 02:28:48,,677.0,21.5,54.69
2023-11-01 02:32:56,1.0,,,
2023-11-01 02:37:56,1.0,,,
2023-11-01 02:38:50,,763.0,21.4,54.69
2023-11-01 02:42:56,1.0,,,
2023-11-01 02:47:56,1.0,,,
