datetime,co2,temperature,humidity
2023-11-01 00:02:17,784.0,22.3,47.66
2023-11-01 00:22:33,741.0,22.4,47.27
2023-11-01 00:42:49,739.0,22.4,47.27
2023-11-01 00:52:57,691.0,22.3,47.27
2023-11-01 01:03:05,663.0,22.4,47.27
2023-11-01 01:13:13,644.0,22.4,46.88
2023-11-01 01:23:22,751.0,22.4,46.88
2023-11-01 01:33:30,698.0,22.5,46.88
2023-11-01 01:43:38,652.0,22.4,46.88
2023-11-01 01:53:46,655.0,22.3,46.88
2023-11-01 02:03:54,618.0,22.3,46.48
2023-11-01 02:14:02,615.0,22.3,46.48
2023-11-01 02:24:10,599.0,22.3,46.48
2023-11-01 02:34:18,658.0,22.3,46.48
2023-11-01 02:44:26,704.0,22.3,46.48
2023-11-01 02:54:34,555.0,22.3,46.48
2023-11-01 03:04:45,602.0,22.3,46.48
2023-11-01 03:14:51,665.0,22.3,46.09
2023-11-01 03:24:59,604.0,22.3,46.09
2023-11-01 03:35:07,575.0,22.3,46.09
2023-11-01 03:45:15,564.0,22.3,46.09
2023-11-01 03:55:07,577.0,22.3,46.09
2023-11-01 04:05:31,542.0,22.3,46.09
2023-11-01 04:15:39,639.0,22.3,46.09
2023-11-01 04:25:31,667.0,22.3,46.09
2023-11-01 04:35:40,618.0,22.2,46.09
2023-11-01 04:45:48,629.0,22.3,46.88
2023-11-01 04:56:12,589.0,22.4,47.27
2023-11-01 05:06:20,589.0,22.2,47.27
2023-11-01 05:16:28,621.0,22.3,46.88
2023-11-01 05:26:36,613.0,22.3,46.88
2023-11-01 05:36:44,628.0,22.3,46.48
2023-11-01 05:46:52,581.0,22.3,46.48
2023-11-01 05:57:00,563.0,22.3,46.88
2023-11-01 06:07:08,636.0,22.3,46.88
2023-11-01 06:17:17,612.0,22.3,46.88
2023-11-01 06:27:25,539.0,22.2,46.48
2023-11-01 06:37:33,631.0,22.2,46.09
2023-11-01 06:47:41,566.0,22.3,45.7
2023-11-01 06:57:49,605.0,22.2,45.31
2023-11-01 07:07:57,558.0,22.3,45.31
2023-11-01 07:18:05,552.0,22.3,44.92
2023-11-01 07:28:13,594.0,22.3,44.92
2023-11-01 07:38:27,645.0,22.2,44.92
2023-11-01 07:48:30,665.0,22.2,44.92
2023-11-01 07:58:38,610.0,22.3,44.92
2023-11-01 08:08:46,655.0,22.3,44.92
2023-11-01 08:18:47,599.0,22.3,44.92
2023-11-01 08:28:48,675.0,22.2,45.31
2023-11-01 08:38:51,647.0,22.3,45.31
2023-11-01 08:48:53,794.0,22.3,45.31
2023-11-01 08:58:55,790.0,22.4,45.31
2023-11-01 09:08:58,746.0,22.3,45.31
2023-11-01 09:29:03,792.0,22.2,44.92
2023-11-01 09:39:05,797.0,22.3,44.92
2023-11-01 09:49:07,862.0,22.2,44.92
2023-11-01 09:58:54,856.0,22.3,44.92
2023-11-01 10:09:12,746.0,22.3,44.53
2023-11-01 10:19:15,799.0,22.3,44.53
2023-11-01 10:29:17,780.0,22.3,44.53
2023-11-01 10:39:19,840.0,22.3,44.53
2023-11-01 10:49:22,845.0,22.4,44.53
2023-11-01 10:59:24,801.0,22.3,44.14
2023-11-01 11:09:25,897.0,22.4,44.14
2023-11-01 11:19:12,826.0,22.3,44.14
2023-11-01 11:29:30,852.0,22.4,44.14
2023-11-01 11:49:35,881.0,22.3,44.14
2023-11-01 11:59:23,923.0,22.5,44.14
2023-11-01 12:09:44,1010.0,22.3,44.14
2023-11-01 12:19:52,924.0,22.4,44.14
2023-11-01 12:29:44,933.0,22.3,43.75
2023-11-01 12:40:08,1006.0,22.3,43.75
2023-11-01 12:50:16,914.0,22.3,43.75
2023-11-01 13:00:24,984.0,22.4,43.75
2023-11-01 13:10:25,955.0,22.5,43.75
2023-11-01 13:30:26,1139.0,22.4,43.75
2023-11-01 13:40:50,1002.0,22.4,43.75
2023-11-01 13:50:42,1022.0,22.4,43.75
2023-11-01 14:01:07,1066.0,22.4,44.14
2023-11-01 14:11:15,1103.0,22.3,44.14
2023-11-01 14:21:27,1125.0,22.3,44.14
2023-11-01 14:31:35,1187.0,22.3,44.53
2023-11-01 14:41:43,1130.0,22.2,44.53
2023-11-01 14:51:51,1026.0,22.2,44.53
2023-11-01 15:01:59,1066.0,22.3,44.53
2023-11-01 15:11:48,1141.0,22.2,44.53
2023-11-01 15:22:01,1126.0,22.2,44.53
2023-11-01 15:32:13,1049.0,22.2,44.53
2023-11-01 15:42:41,1082.0,22.3,44.53
2023-11-01 15:52:53,1169.0,22.3,44.53
2023-11-01 16:03:05,1231.0,22.3,44.53
2023-11-01 16:13:18,1172.0,22.2,44.53
2023-11-01 16:23:30,1120.0,22.2,44.92
2023-11-01 16:33:42,1231.0,22.3,44.92
2023-11-01 16:43:38,1124.0,22.2,44.92
2023-11-01 16:54:06,1161.0,22.3,45.31
2023-11-01 17:04:18,1194.0,22.2,45.31
2023-11-01 17:14:30,1122.0,22.3,45.31
2023-11-01 17:24:42,1157.0,22.1,45.31
2023-11-01 17:34:55,1161.0,22.3,45.7
2023-11-01 17:45:07,1170.0,22.1,45.7
2023-11-01 17:55:12,1179.0,22.2,45.7
2023-11-01 18:05:21,1144.0,22.1,45.7
2023-11-01 18:15:29,1161.0,22.2,45.7
2023-11-01 18:25:38,1075.0,22.2,46.09
2023-11-01 18:35:47,1064.0,22.1,45.7
2023-11-01 18:45:55,1043.0,22.1,45.7
2023-11-01 18:55:48,1010.0,22.0,45.7
2023-11-01 19:06:13,964.0,22.1,45.7
2023-11-01 19:16:21,973.0,22.1,45.7
2023-11-01 19:26:30,957.0,22.1,45.7
2023-11-01 19:36:39,968.0,22.0,46.09
2023-11-01 19:46:48,894.0,22.1,46.09
2023-11-01 19:56:56,878.0,22.1,46.09
2023-11-01 20:07:05,858.0,22.1,46.09
2023-11-01 20:17:14,811.0,22.0,46.09
2023-11-01 20:27:19,863.0,22.1,46.09
2023-11-01 20:37:23,842.0,22.1,46.09
2023-11-01 20:47:28,828.0,22.0,46.09
2023-11-01 20:57:33,825.0,22.1,46.09
2023-11-01 21:07:37,773.0,22.0,46.09
2023-11-01 21:17:26,801.0,22.0,46.09
2023-11-01 21:27:47,767.0,22.0,46.09
2023-11-01 21:37:19,767.0,22.0,46.09
2023-11-01 21:47:32,815.0,22.1,46.09
2023-11-01 21:57:48,778.0,22.1,46.09
2023-11-01 22:08:04,805.0,22.0,46.09
2023-11-01 22:18:04,753.0,22.0,46.09
2023-11-01 22:28:09,742.0,22.1,46.48
2023-11-01 22:38:14,780.0,22.0,46.48
2023-11-01 22:48:18,770.0,22.1,46.48
2023-11-01 22:58:23,684.0,22.0,46.48
2023-11-01 23:08:28,777.0,22.1,46.48
2023-11-01 23:18:33,775.0,22.1,46.48
2023-11-01 23:28:37,722.0,22.1,46.48
2023-11-01 23:38:42,773.0,22.0,46.88
2023-11-01 23:48:47,805.0,22.0,46.88
2023-11-01 23:58:35,689.0,22.1,46.88
2023-11-02 00:08:40,734.0,22.0,46.88
2023-11-02 00:19:01,688.0,22.0,46.88
2023-11-02 00:29:05,743.0,22.1,46.88
2023-11-02 00:39:10,658.0,22.1,46.88
2023-11-02 00:49:15,715.0,22.1,46.88
2023-11-02 00:59:16,707.0,22.0,46.88
2023-11-02 01:09:18,719.0,22.0,46.88
2023-11-02 01:19:05,770.0,22.0,47.27
2023-11-02 01:29:07,760.0,22.0,47.27
2023-11-02 01:39:26,655.0,22.1,47.27
2023-11-02 01:49:28,658.0,22.0,47.27
2023-11-02 01:59:30,592.0,22.1,47.27
2023-11-02 02:09:33,742.0,22.1,47.27
2023-11-02 02:19:19,660.0,22.0,47.27
2023-11-02 02:29:38,675.0,22.0,47.27
2023-11-02 02:39:40,719.0,22.1,47.27
2023-11-02 02:49:42,702.0,22.0,47.27
2023-11-02 02:59:45,665.0,22.1,47.27
2023-11-02 03:09:47,655.0,22.1,47.27
2023-11-02 03:19:50,636.0,22.1,47.27
2023-11-02 03:29:52,752.0,22.1,47.27
2023-11-02 03:39:54,620.0,22.0,47.27
2023-11-02 03:49:57,683.0,22.0,47.66
2023-11-02 03:59:59,686.0,22.0,47.66
2023-11-02 04:09:30,686.0,22.0,47.66
2023-11-02 04:19:40,649.0,22.0,47.66
2023-11-02 04:29:56,652.0,22.0,47.66
2023-11-02 04:40:12,658.0,22.0,47.66
2023-11-02 04:50:12,701.0,21.9,48.05
2023-11-02 05:00:15,709.0,22.0,48.44
2023-11-02 05:10:17,642.0,22.0,48.44
2023-11-02 05:20:19,660.0,21.9,48.44
2023-11-02 05:30:22,732.0,21.9,48.44
2023-11-02 05:40:24,572.0,22.0,48.44
2023-11-02 05:50:27,654.0,22.0,48.44
2023-11-02 06:00:29,681.0,22.0,48.44
2023-11-02 06:10:31,620.0,22.0,48.44
2023-11-02 06:20:34,650.0,21.9,48.44
2023-11-02 06:30:36,625.0,21.9,48.44
2023-11-02 06:40:39,638.0,21.9,48.44
2023-11-02 06:50:41,638.0,21.9,48.44
2023-11-02 07:00:43,615.0,22.0,48.44
2023-11-02 07:10:46,617.0,21.9,48.44
2023-11-02 07:20:48,639.0,21.9,48.44
2023-11-02 07:30:51,642.0,21.9,48.44
2023-11-02 07:40:53,699.0,21.9,48.83
2023-11-02 07:50:55,676.0,22.0,48.83
2023-11-02 08:00:58,729.0,21.9,49.22
2023-11-02 08:11:00,827.0,22.0,49.22
2023-11-02 08:20:47,720.0,22.0,49.22
2023-11-02 08:31:05,803.0,22.0,49.22
2023-11-02 08:41:07,785.0,22.0,49.61
2023-11-02 08:51:10,762.0,22.1,49.22
2023-11-02 09:01:12,772.0,22.0,49.61
2023-11-02 09:11:15,773.0,22.1,49.61
2023-11-02 09:21:17,760.0,22.0,49.61
2023-11-02 09:31:19,719.0,22.1,49.61
2023-11-02 09:41:22,792.0,22.1,49.61
