order,state,s_prev,s_curr,mu,sigma,phi_1
2,1,1,1,400.0,10.008861541748047,0.6796982288360596
2,2,1,2,446.9128723144531,30.970611572265625,-0.055037498474121094
2,3,1,3,574.8441772460938,12.244582176208496,0.9592142105102539
2,4,1,4,1461.574462890625,119.4627685546875,0.9186081886291504
2,5,2,1,400.0,12.471795082092285,0.26486945152282715
2,6,2,2,446.9128723144531,21.72643280029297,0.3599131107330322
2,7,2,3,574.8441772460938,114.08966827392578,0.6235449314117432
2,8,2,4,1461.574462890625,86.91109466552734,0.8508435487747192
2,9,3,1,400.0,5.819194793701172,0.9871140718460083
2,10,3,2,446.9128723144531,32.83640670776367,0.1634821891784668
2,11,3,3,574.8441772460938,0.0013101185904815793,0.8920595645904541
2,12,3,4,1461.574462890625,67.03456115722656,1.0
2,13,4,1,400.0,81.2718734741211,1.0
2,14,4,2,446.9128723144531,122.7821273803711,0.8513878583908081
2,15,4,3,574.8441772460938,69.07716369628906,0.3837844133377075
2,16,4,4,1461.574462890625,54.906822204589844,0.7415480613708496
