order,state,s_prev,s_curr,mu,sigma,phi_1,phi_2
2,1,1,1,400.0,6.570111608920378,0.6576399576132113,-0.02990072476108674
2,2,1,2,400.0000000000003,32.700084965124134,0.9997469988951802,-0.10479009530160699
2,3,1,3,1290.0650172260052,10.339268142379659,0.657639957613015,-0.029900724758226582
2,4,1,4,111854115650.04533,10.565641725422058,0.6576399576132106,-0.029900724758240238
2,5,2,1,400.0,35.93742256323553,0.9999999999989999,-0.17055147083566435
2,6,2,2,400.0000000000003,0.43765129472420733,0.9999999999989999,0.0003316335700747075
2,7,2,3,1290.0650172260052,166.6609815901658,0.9999999999989999,-0.11403120727395144
2,8,2,4,111854115650.04533,0.34733259049335646,0.9999999999989999,0.04007727288616092
2,9,3,1,400.0,52.498584306598396,0.9999716336038191,-0.4058391002419077
2,10,3,2,400.0000000000003,116.36584934031656,0.9999709528577745,-0.46785877622351135
2,11,3,3,1290.0650172260052,103.50007169561538,0.9999801437144458,-0.12493242456979914
2,12,3,4,111854115650.04533,144.01459515513525,0.9999716336038191,-0.4058391002419077
2,13,4,1,400.0,173.78604358893077,0.905838927160918,-0.14683277894888036
2,14,4,2,400.0000000000003,173.78646766002095,0.905838927160918,-0.14683277894888036
2,15,4,3,1290.0650172260052,155.1804271899921,0.9064058111292306,-0.12793725395681443
2,16,4,4,111854115650.04533,42.90151510239034,0.905838927160918,-0.14683277894888036
