order,state,s_prev,s_curr,mu,sigma,phi_1
2,1,1,1,400.0,6.570111608920378,0.558898533692846
2,2,1,2,400.0000000000003,17.651202786566703,0.9457342741791519
2,3,1,3,447.61580995876193,10.339268142379659,0.5791586660753318
2,4,1,4,111854114807.59613,10.565641725422058,0.6247211122739225
2,5,2,1,400.0,22.043132238849246,0.9999999999989999
2,6,2,2,400.0000000000003,0.4278061085854786,0.9999999999989999
2,7,2,3,447.61580995876193,31.9155745373075,0.9999999999989999
2,8,2,4,111854114807.59613,0.34733259049335646,0.9999999999990017
2,9,3,1,400.0,52.498584306598396,0.7151627016198832
2,10,3,2,400.0000000000003,36.834288916513096,0.9392266068278796
2,11,3,3,447.61580995876193,41.54399354528258,0.2861830359634572
2,12,3,4,111854114807.59613,144.01459515513525,0.9999999996096172
2,13,4,1,400.0,173.78604358893077,0.7537564209572836
2,14,4,2,400.0000000000003,173.78646766002095,0.7537567556544165
2,15,4,3,447.61580995876193,171.4013625350255,0.9091652043856848
2,16,4,4,111854114807.59613,42.90151510239034,0.9999999997776734
