order,k,from_idx,to_idx,prob
2,4,0,0,0.7192264795303345
2,4,0,1,0.22422440350055695
2,4,0,2,1.9219859836994146e-07
2,4,0,3,0.056548938155174255
2,4,0,4,0.0
2,4,0,5,0.0
2,4,0,6,0.0
2,4,0,7,0.0
2,4,0,8,0.0
2,4,0,9,0.0
2,4,0,10,0.0
2,4,0,11,0.0
2,4,0,12,0.0
2,4,0,13,0.0
2,4,0,14,0.0
2,4,0,15,0.0
2,4,1,0,0.0
2,4,1,1,0.0
2,4,1,2,0.0
2,4,1,3,0.0
2,4,1,4,0.21373394131660461
2,4,1,5,0.43120691180229187
2,4,1,6,0.3548486530780792
2,4,1,7,0.00021045198081992567
2,4,1,8,0.0
2,4,1,9,0.0
2,4,1,10,0.0
2,4,1,11,0.0
2,4,1,12,0.0
2,4,1,13,0.0
2,4,1,14,0.0
2,4,1,15,0.0
2,4,2,0,0.0
2,4,2,1,0.0
2,4,2,2,0.0
2,4,2,3,0.0
2,4,2,4,0.0
2,4,2,5,0.0
2,4,2,6,0.0
2,4,2,7,0.0
2,4,2,8,0.7218083143234253
2,4,2,9,4.508294750849018e-06
2,4,2,10,6.074180602944068e-10
2,4,2,11,0.27818718552589417
2,4,2,12,0.0
2,4,2,13,0.0
2,4,2,14,0.0
2,4,2,15,0.0
2,4,3,0,0.0
2,4,3,1,0.0
2,4,3,2,0.0
2,4,3,3,0.0
2,4,3,4,0.0
2,4,3,5,0.0
2,4,3,6,0.0
2,4,3,7,0.0
2,4,3,8,0.0
2,4,3,9,0.0
2,4,3,10,0.0
2,4,3,11,0.0
2,4,3,12,0.8342695832252502
2,4,3,13,0.1020178571343422
2,4,3,14,8.12282602291603e-11
2,4,3,15,0.06371259689331055
2,4,4,0,0.6948210597038269
2,4,4,1,0.30492156744003296
2,4,4,2,9.465877788637084e-14
2,4,4,3,0.0002573879901319742
2,4,4,4,0.0
2,4,4,5,0.0
2,4,4,6,0.0
2,4,4,7,0.0
2,4,4,8,0.0
2,4,4,9,0.0
2,4,4,10,0.0
2,4,4,11,0.0
2,4,4,12,0.0
2,4,4,13,0.0
2,4,4,14,0.0
2,4,4,15,0.0
2,4,5,0,0.0
2,4,5,1,0.0
2,4,5,2,0.0
2,4,5,3,0.0
2,4,5,4,0.1289147138595581
2,4,5,5,0.6792864799499512
2,4,5,6,0.03276688605546951
2,4,5,7,0.159031942486763
2,4,5,8,0.0
2,4,5,9,0.0
2,4,5,10,0.0
2,4,5,11,0.0
2,4,5,12,0.0
2,4,5,13,0.0
2,4,5,14,0.0
2,4,5,15,0.0
2,4,6,0,0.0
2,4,6,1,0.0
