order,k,from_idx,to_idx,prob
2,4,0,0,0.7633155584335327
2,4,0,1,0.12698285281658173
2,4,0,2,0.020804721862077713
2,4,0,3,0.08889693021774292
2,4,0,4,0.0
2,4,0,5,0.0
2,4,0,6,0.0
2,4,0,7,0.0
2,4,0,8,0.0
2,4,0,9,0.0
2,4,0,10,0.0
2,4,0,11,0.0
2,4,0,12,0.0
2,4,0,13,0.0
2,4,0,14,0.0
2,4,0,15,0.0
2,4,1,0,0.0
2,4,1,1,0.0
2,4,1,2,0.0
2,4,1,3,0.0
2,4,1,4,0.0705447718501091
2,4,1,5,0.9294357299804688
2,4,1,6,2.886908420651757e-11
2,4,1,7,1.9479668480926193e-05
2,4,1,8,0.0
2,4,1,9,0.0
2,4,1,10,0.0
2,4,1,11,0.0
2,4,1,12,0.0
2,4,1,13,0.0
2,4,1,14,0.0
2,4,1,15,0.0
2,4,2,0,0.0
2,4,2,1,0.0
2,4,2,2,0.0
2,4,2,3,0.0
2,4,2,4,0.0
2,4,2,5,0.0
2,4,2,6,0.0
2,4,2,7,0.0
2,4,2,8,0.7628538608551025
2,4,2,9,1.650062753100201e-09
2,4,2,10,0.000104681181255728
2,4,2,11,0.23704145848751068
2,4,2,12,0.0
2,4,2,13,0.0
2,4,2,14,0.0
2,4,2,15,0.0
2,4,3,0,0.0
2,4,3,1,0.0
2,4,3,2,0.0
2,4,3,3,0.0
2,4,3,4,0.0
2,4,3,5,0.0
2,4,3,6,0.0
2,4,3,7,0.0
2,4,3,8,0.0
2,4,3,9,0.0
2,4,3,10,0.0
2,4,3,11,0.0
2,4,3,12,0.7065150737762451
2,4,3,13,0.06634911149740219
2,4,3,14,0.1706438660621643
2,4,3,15,0.05649196729063988
2,4,4,0,0.6903383731842041
2,4,4,1,0.04967709630727768
2,4,4,2,5.8066298436187935e-09
2,4,4,3,0.25998449325561523
2,4,4,4,0.0
2,4,4,5,0.0
2,4,4,6,0.0
2,4,4,7,0.0
2,4,4,8,0.0
2,4,4,9,0.0
2,4,4,10,0.0
2,4,4,11,0.0
2,4,4,12,0.0
2,4,4,13,0.0
2,4,4,14,0.0
2,4,4,15,0.0
2,4,5,0,0.0
2,4,5,1,0.0
2,4,5,2,0.0
2,4,5,3,0.0
2,4,5,4,0.16745591163635254
2,4,5,5,0.620642364025116
2,4,5,6,0.015255908481776714
2,4,5,7,0.1966458410024643
2,4,5,8,0.0
2,4,5,9,0.0
2,4,5,10,0.0
2,4,5,11,0.0
2,4,5,12,0.0
2,4,5,13,0.0
2,4,5,14,0.0
2,4,5,15,0.0
2,4,6,0,0.0
2,4,6,1,0.0
2,4,6,2,0.0
2,4,6,3,0.0
2,4,6,4,0.0
2,4,6,5,0.0
2,4,6,6,0.0
2,4,6,7,0.0
2,4,6,8,9.968607628252357e-08
2,4,6,9,0.07376289367675781
2,4,6,10,1.2234708265168592e-05
2,4,6,11,0.9262247085571289
2,4,6,12,0.0
2,4,6,13,0.0
2,4,6,14,0.0
2,4,6,15,0.0
2,4,7,0,0.0
2,4,7,1,0.0
2,4,7,2,0.0
2,4,7,3,0.0
2,4,7,4,0.0
2,4,7,5,0.0
2,4,7,6,0.0
2,4,7,7,0.0
2,4,7,8,0.0
2,4,7,9,0.0
2,4,7,10,0.0
2,4,7,11,0.0
2,4,7,12,0.024162154644727707
