order,k,from_idx,to_idx,prob
2,4,0,0,0.7166492938995361
2,4,0,1,0.1596325933933258
2,4,0,2,0.0003507336659822613
2,4,0,3,0.12336739897727966
2,4,0,4,0.0
2,4,0,5,0.0
2,4,0,6,0.0
2,4,0,7,0.0
2,4,0,8,0.0
2,4,0,9,0.0
2,4,0,10,0.0
2,4,0,11,0.0
2,4,0,12,0.0
2,4,0,13,0.0
2,4,0,14,0.0
2,4,0,15,0.0
2,4,1,0,0.0
2,4,1,1,0.0
2,4,1,2,0.0
2,4,1,3,0.0
2,4,1,4,0.3877312242984772
2,4,1,5,0.6121167540550232
2,4,1,6,3.784996806643903e-05
2,4,1,7,0.0001141898610512726
2,4,1,8,0.0
2,4,1,9,0.0
2,4,1,10,0.0
2,4,1,11,0.0
2,4,1,12,0.0
2,4,1,13,0.0
2,4,1,14,0.0
2,4,1,15,0.0
2,4,2,0,0.0
2,4,2,1,0.0
2,4,2,2,0.0
2,4,2,3,0.0
2,4,2,4,0.0
2,4,2,5,0.0
2,4,2,6,0.0
2,4,2,7,0.0
2,4,2,8,0.7934406399726868
2,4,2,9,5.182002382753126e-09
2,4,2,10,6.109992227720795e-07
2,4,2,11,0.20655879378318787
2,4,2,12,0.0
2,4,2,13,0.0
2,4,2,14,0.0
2,4,2,15,0.0
2,4,3,0,0.0
2,4,3,1,0.0
2,4,3,2,0.0
2,4,3,3,0.0
2,4,3,4,0.0
2,4,3,5,0.0
2,4,3,6,0.0
2,4,3,7,0.0
2,4,3,8,0.0
2,4,3,9,0.0
2,4,3,10,0.0
2,4,3,11,0.0
2,4,3,12,0.653104841709137
2,4,3,13,0.03957822546362877
2,4,3,14,5.967633143200146e-08
2,4,3,15,0.3073168396949768
2,4,4,0,0.8108054995536804
2,4,4,1,0.14055569469928741
2,4,4,2,2.305456867079947e-11
2,4,4,3,0.04863882064819336
2,4,4,4,0.0
2,4,4,5,0.0
2,4,4,6,0.0
2,4,4,7,0.0
2,4,4,8,0.0
2,4,4,9,0.0
2,4,4,10,0.0
2,4,4,11,0.0
2,4,4,12,0.0
2,4,4,13,0.0
2,4,4,14,0.0
2,4,4,15,0.0
2,4,5,0,0.0
2,4,5,1,0.0
2,4,5,2,0.0
2,4,5,3,0.0
2,4,5,4,0.3947522044181824
2,4,5,5,0.45109012722969055
2,4,5,6,0.018709775060415268
2,4,5,7,0.13544787466526031
2,4,5,8,0.0
2,4,5,9,0.0
2,4,5,10,0.0
2,4,5,11,0.0
2,4,5,12,0.0
2,4,5,13,0.0
2,4,5,14,0.0
2,4,5,15,0.0
2,4,6,0,0.0
2,4,6,1,0.0
2,4,6,2,0.0
2,4,6,3,0.0
2,4,6,4,0.0
2,4,6,5,0.0
2,4,6,6,0.0
2,4,6,7,0.0
2,4,6,8,1.8349737729295157e-08
2,4,6,9,0.47473204135894775
2,4,6,10,1.1020615531265321e-08
2,4,6,11,0.5252678990364075
2,4,6,12,0.0
2,4,6,13,0.0
2,4,6,14,0.0
2,4,6,15,0.0
2,4,7,0,0.0
2,4,7,1,0.0
2,4,7,2,0.0
2,4,7,3,0.0
2,4,7,4,0.0
2,4,7,5,0.0
2,4,7,6,0.0
2,4,7,7,0.0
2,4,7,8,0.0
2,4,7,9,0.0
2,4,7,10,0.0
2,4,7,11,0.0
2,4,7,12,6.215274197529652e-07
2,4,7,13,0.24014849960803986
2,4,7,14,3.57349598800738e-08
2,4,7,15,0.7598509192466736
2,4,8,0,0.16889159381389618
2,4,8,1,2.4332827419648595e-12
2,4,8,2,0.8310979604721069
2,4,8,3,1.0495159585843794e-05
2,4,8,4,0.0
2,4,8,5,0.0
2,4,8,6,0.0
2,4,8,7,0.0
2,4,8,8,0.0
2,4,8,9,0.0
2,4,8,10,0.0
2,4,8,11,0.0
2,4,8,12,0.0
2,4,8,13,0.0
2,4,8,14,0.0
2,4,8,15,0.0
2,4,9,0,0.0
2,4,9,1,0.0
2,4,9,2,0.0
2,4,9,3,0.0
2,4,9,4,0.19668349623680115
2,4,9,5,0.2853865325450897
2,4,9,6,0.5179029703140259
2,4,9,7,2.6998442990588956e-05
2,4,9,8,0.0
2,4,9,9,0.0
2,4,9,10,0.0
2,4,9,11,0.0
2,4,9,12,0.0
2,4,9,13,0.0
2,4,9,14,0.0
2,4,9,15,0.0
2,4,10,0,0.0
2,4,10,1,0.0
2,4,10,2,0.0
2,4,10,3,0.0
2,4,10,4,0.0
2,4,10,5,0.0
2,4,10,6,0.0
2,4,10,7,0.0
2,4,10,8,0.07531505823135376
2,4,10,9,1.2147542349794094e-07
2,4,10,10,0.34996822476387024
2,4,10,11,0.5747166275978088
2,4,10,12,0.0
2,4,10,13,0.0
2,4,10,14,0.0
2,4,10,15,0.0
2,4,11,0,0.0
2,4,11,1,0.0
2,4,11,2,0.0
2,4,11,3,0.0
2,4,11,4,0.0
2,4,11,5,0.0
2,4,11,6,0.0
2,4,11,7,0.0
2,4,11,8,0.0
2,4,11,9,0.0
2,4,11,10,0.0
2,4,11,11,0.0
2,4,11,12,0.10822310298681259
2,4,11,13,4.980058179171465e-07
2,4,11,14,0.8917710185050964
2,4,11,15,5.392919774749316e-06
2,4,12,0,0.20680750906467438
2,4,12,1,2.1269165248472e-11
2,4,12,2,0.2584330439567566
2,4,12,3,0.5347594618797302
2,4,12,4,0.0
2,4,12,5,0.0
2,4,12,6,0.0
2,4,12,7,0.0
2,4,12,8,0.0
2,4,12,9,0.0
2,4,12,10,0.0
2,4,12,11,0.0
2,4,12,12,0.0
2,4,12,13,0.0
2,4,12,14,0.0
2,4,12,15,0.0
2,4,13,0,0.0
2,4,13,1,0.0
2,4,13,2,0.0
2,4,13,3,0.0
2,4,13,4,0.00012668654380831867
2,4,13,5,0.053082600235939026
2,4,13,6,0.34087151288986206
2,4,13,7,0.6059191823005676
2,4,13,8,0.0
2,4,13,9,0.0
2,4,13,10,0.0
2,4,13,11,0.0
2,4,13,12,0.0
2,4,13,13,0.0
2,4,13,14,0.0
2,4,13,15,0.0
2,4,14,0,0.0
2,4,14,1,0.0
2,4,14,2,0.0
2,4,14,3,0.0
2,4,14,4,0.0
2,4,14,5,0.0
2,4,14,6,0.0
2,4,14,7,0.0
2,4,14,8,0.12862159311771393
2,4,14,9,0.32736465334892273
2,4,14,10,1.4677866921886107e-08
2,4,14,11,0.5440137982368469
2,4,14,12,0.0
2,4,14,13,0.0
2,4,14,14,0.0
2,4,14,15,0.0
2,4,15,0,0.0
2,4,15,1,0.0
2,4,15,2,0.0
2,4,15,3,0.0
2,4,15,4,0.0
2,4,15,5,0.0
2,4,15,6,0.0
2,4,15,7,0.0
2,4,15,8,0.0
2,4,15,9,0.0
2,4,15,10,0.0
2,4,15,11,0.0
2,4,15,12,4.6590396471368756e-12
2,4,15,13,0.19990122318267822
2,4,15,14,0.003448749426752329
2,4,15,15,0.7966500520706177
