order,k,from_idx,to_idx,prob
2,4,0,0,0.00036233491452423305
2,4,0,1,0.0011501618493668562
2,4,0,2,2.005244087785646e-15
2,4,0,3,0.9984875032361069
2,4,0,4,0.0
2,4,0,5,0.0
2,4,0,6,0.0
2,4,0,7,0.0
2,4,0,8,0.0
2,4,0,9,0.0
2,4,0,10,0.0
2,4,0,11,0.0
2,4,0,12,0.0
2,4,0,13,0.0
2,4,0,14,0.0
2,4,0,15,0.0
2,4,1,0,0.0
2,4,1,1,0.0
2,4,1,2,0.0
2,4,1,3,0.0
2,4,1,4,0.4042997866774737
2,4,1,5,0.36772644626107087
2,4,1,6,1.994534104070684e-12
2,4,1,7,0.22797376705946076
2,4,1,8,0.0
2,4,1,9,0.0
2,4,1,10,0.0
2,4,1,11,0.0
2,4,1,12,0.0
2,4,1,13,0.0
2,4,1,14,0.0
2,4,1,15,0.0
2,4,2,0,0.0
2,4,2,1,0.0
2,4,2,2,0.0
2,4,2,3,0.0
2,4,2,4,0.0
2,4,2,5,0.0
2,4,2,6,0.0
2,4,2,7,0.0
2,4,2,8,7.244808837695824e-26
2,4,2,9,0.2528583006579575
2,4,2,10,0.1736662412431837
2,4,2,11,0.5734754580988587
2,4,2,12,0.0
2,4,2,13,0.0
2,4,2,14,0.0
2,4,2,15,0.0
2,4,3,0,0.0
2,4,3,1,0.0
2,4,3,2,0.0
2,4,3,3,0.0
2,4,3,4,0.0
2,4,3,5,0.0
2,4,3,6,0.0
2,4,3,7,0.0
2,4,3,8,0.0
2,4,3,9,0.0
2,4,3,10,0.0
2,4,3,11,0.0
2,4,3,12,1.9439731538397304e-64
2,4,3,13,2.6917531540295526e-65
2,4,3,14,1.0
2,4,3,15,9.5925504099805e-52
2,4,4,0,2.881843334581554e-14
2,4,4,1,0.9999999999971094
2,4,4,2,5.7473001823058005e-27
2,4,4,3,2.8617999396352688e-12
2,4,4,4,0.0
2,4,4,5,0.0
2,4,4,6,0.0
2,4,4,7,0.0
2,4,4,8,0.0
2,4,4,9,0.0
2,4,4,10,0.0
2,4,4,11,0.0
2,4,4,12,0.0
2,4,4,13,0.0
2,4,4,14,0.0
2,4,4,15,0.0
2,4,5,0,0.0
2,4,5,1,0.0
2,4,5,2,0.0
2,4,5,3,0.0
2,4,5,4,0.2805118859518289
2,4,5,5,0.5475868932809675
2,4,5,6,1.5037703924055243e-12
2,4,5,7,0.1719012207656998
2,4,5,8,0.0
2,4,5,9,0.0
2,4,5,10,0.0
2,4,5,11,0.0
2,4,5,12,0.0
2,4,5,13,0.0
2,4,5,14,0.0
2,4,5,15,0.0
2,4,6,0,0.0
2,4,6,1,0.0
2,4,6,2,0.0
2,4,6,3,0.0
2,4,6,4,0.0
2,4,6,5,0.0
2,4,6,6,0.0
2,4,6,7,0.0
2,4,6,8,7.244801196960228e-26
2,4,6,9,0.2528567980839089
2,4,6,10,0.17366834863296235
2,4,6,11,0.5734748532831287
2,4,6,12,0.0
2,4,6,13,0.0
2,4,6,14,0.0
2,4,6,15,0.0
2,4,7,0,0.0
2,4,7,1,0.0
2,4,7,2,0.0
2,4,7,3,0.0
2,4,7,4,0.0
2,4,7,5,0.0
2,4,7,6,0.0
2,4,7,7,0.0
2,4,7,8,0.0
2,4,7,9,0.0
2,4,7,10,0.0
2,4,7,11,0.0
2,4,7,12,1.4326097608700052e-13
2,4,7,13,1.9836883213107356e-14
2,4,7,14,0.29307683900261033
2,4,7,15,0.7069231609972265
2,4,8,0,0.11262612237039368
2,4,8,1,0.15105149091332137
2,4,8,2,1.4787427062248388e-15
2,4,8,3,0.7363223867162835
2,4,8,4,0.0
2,4,8,5,0.0
2,4,8,6,0.0
2,4,8,7,0.0
2,4,8,8,0.0
2,4,8,9,0.0
2,4,8,10,0.0
2,4,8,11,0.0
2,4,8,12,0.0
2,4,8,13,0.0
2,4,8,14,0.0
2,4,8,15,0.0
2,4,9,0,0.0
2,4,9,1,0.0
2,4,9,2,0.0
2,4,9,3,0.0
2,4,9,4,0.29696068763292954
2,4,9,5,0.39873596535881917
2,4,9,6,2.6619758112879994e-12
2,4,9,7,0.3043033470055893
2,4,9,8,0.0
2,4,9,9,0.0
2,4,9,10,0.0
2,4,9,11,0.0
2,4,9,12,0.0
2,4,9,13,0.0
2,4,9,14,0.0
2,4,9,15,0.0
2,4,10,0,0.0
2,4,10,1,0.0
2,4,10,2,0.0
2,4,10,3,0.0
2,4,10,4,0.0
2,4,10,5,0.0
2,4,10,6,0.0
2,4,10,7,0.0
2,4,10,8,1.4136016665197255e-26
2,4,10,9,0.17941403550848628
2,4,10,10,0.7086898632364063
2,4,10,11,0.11189610125510752
2,4,10,12,0.0
2,4,10,13,0.0
2,4,10,14,0.0
2,4,10,15,0.0
2,4,11,0,0.0
2,4,11,1,0.0
2,4,11,2,0.0
2,4,11,3,0.0
2,4,11,4,0.0
2,4,11,5,0.0
2,4,11,6,0.0
2,4,11,7,0.0
2,4,11,8,0.0
2,4,11,9,0.0
2,4,11,10,0.0
2,4,11,11,0.0
2,4,11,12,8.751138526257862e-14
2,4,11,13,1.211744168491684e-14
2,4,11,14,0.5681732808817416
2,4,11,15,0.43182671911815873
2,4,12,0,0.11262633591750873
2,4,12,1,0.15105165091366507
2,4,12,2,1.4787419560363482e-15
2,4,12,3,0.7363220131688247
2,4,12,4,0.0
2,4,12,5,0.0
2,4,12,6,0.0
2,4,12,7,0.0
2,4,12,8,0.0
2,4,12,9,0.0
2,4,12,10,0.0
2,4,12,11,0.0
2,4,12,12,0.0
2,4,12,13,0.0
2,4,12,14,0.0
2,4,12,15,0.0
2,4,13,0,0.0
2,4,13,1,0.0
2,4,13,2,0.0
2,4,13,3,0.0
2,4,13,4,0.1270428711767658
2,4,13,5,0.09914385972778289
2,4,13,6,6.769157771564181e-12
2,4,13,7,0.7738132690886823
2,4,13,8,0.0
2,4,13,9,0.0
2,4,13,10,0.0
2,4,13,11,0.0
2,4,13,12,0.0
2,4,13,13,0.0
2,4,13,14,0.0
2,4,13,15,0.0
2,4,14,0,0.0
2,4,14,1,0.0
2,4,14,2,0.0
2,4,14,3,0.0
2,4,14,4,0.0
2,4,14,5,0.0
2,4,14,6,0.0
2,4,14,7,0.0
2,4,14,8,9.077287688198655e-26
2,4,14,9,0.08544418097669246
2,4,14,10,0.19602730682857164
2,4,14,11,0.718528512194736
2,4,14,12,0.0
2,4,14,13,0.0
2,4,14,14,0.0
2,4,14,15,0.0
2,4,15,0,0.0
2,4,15,1,0.0
2,4,15,2,0.0
2,4,15,3,0.0
2,4,15,4,0.0
2,4,15,5,0.0
2,4,15,6,0.0
2,4,15,7,0.0
2,4,15,8,0.0
2,4,15,9,0.0
2,4,15,10,0.0
2,4,15,11,0.0
2,4,15,12,1.4464297556195495e-13
2,4,15,13,2.0028399510248864e-14
2,4,15,14,0.2862531053886639
2,4,15,15,0.7137468946111715
